Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;God;78.9;14.42;47.85%;91.85%;7.96%;5.00%;1.85
Ahri;Mage;MID;God;81.36;-4.73;51.29%;95.86%;11.95%;7.39%;2.62
Akali;Assassin;MID;S;61.61;11.03;49.56%;80.23%;7.14%;7.97%;2.34
Akali;Assassin;TOP;C;38.77;7.13;48.87%;18.73%;1.62%;7.97%;2.11
Akshan;Marksman;MID;B;46.41;-5.7;49.24%;69.93%;3.02%;6.79%;2.12
Akshan;Marksman;TOP;D;35.92;0.32;50.37%;22.81%;0.96%;6.79%;1.91
Alistar;Tank;SUPPORT;A;48.47;-0.31;51.12%;93.15%;2.78%;0.72%;2.53
Amumu;Tank;JUNGLE;A;49.12;-5.93;51.08%;59.99%;3.32%;3.80%;2.59
Amumu;Tank;SUPPORT;B;45.38;-0.01;51.31%;38.26%;1.79%;3.80%;2.08
Anivia;Mage;MID;A;50.93;0.85;52.05%;80.19%;1.99%;2.55%;2.73
Anivia;Mage;SUPPORT;C;39.51;8.17;49.46%;12.43%;0.29%;2.50%;2.2
Annie;Mage;MID;A;55.51;-2.95;51.09%;80.10%;4.66%;3.39%;2.34
Annie;Mage;SUPPORT;B;46.44;-2.21;52.35%;16.71%;0.99%;3.39%;2.38
Aphelios;Marksman;ADC;S;62.25;0.86;49.14%;98.12%;13.18%;3.54%;2.04
Ashe;Marksman;SUPPORT;C;39.48;-1.75;46.44%;34.50%;2.90%;1.37%;2.09
Ashe;Marksman;ADC;D;35.7;-0.91;48.98%;62.06%;5.54%;1.37%;2.21
Aurelion Sol;Mage;MID;A;55.76;-9.45;50.12%;89.41%;4.69%;9.66%;2.5
Azir;Mage;MID;B;44.12;7.7;48.83%;89.83%;2.78%;0.59%;2.08
Bard;Support;SUPPORT;B;43.13;1.85;48.57%;95.29%;1.97%;0.27%;2.7
Bel'Veth;Fighter;JUNGLE;B;47.96;2.32;50.70%;88.84%;3.43%;5.79%;2.42
Blitzcrank;Tank;SUPPORT;S;63.28;-5.3;51.24%;97.18%;7.87%;23.20%;2.4
Brand;Mage;SUPPORT;C;41.41;-1.18;48.40%;72.69%;2.76%;3.28%;1.73
Brand;Mage;MID;C;37.67;2.03;49.09%;19.56%;0.70%;3.60%;1.93
Braum;Support;SUPPORT;B;46.26;-1.11;50.01%;98.20%;2.21%;0.38%;2.77
Caitlyn;Marksman;ADC;S;56.25;3.17;49.22%;94.81%;10.66%;6.79%;2.17
Camille;Fighter;TOP;A;52.52;-0.4;49.37%;93.83%;3.81%;1.94%;1.89
Cassiopeia;Mage;MID;A;48.06;0.41;51.86%;74.79%;2.12%;2.35%;2.15
Cassiopeia;Mage;TOP;C;38.01;-1.45;52.80%;17.45%;0.51%;2.35%;1.93
Cho'Gath;Tank;TOP;A;52.7;-1.7;51.06%;66.70%;3.10%;1.42%;2.08
Cho'Gath;Tank;MID;B;44.18;-0.19;51.73%;18.52%;0.70%;1.42%;2.29
Corki;Marksman;MID;C;40.55;4.64;49.56%;89.04%;0.97%;0.17%;2.2
Darius;Fighter;TOP;God;85.24;2.47;48.61%;92.77%;7.49%;17.76%;1.78
Diana;Fighter;JUNGLE;B;45.81;-2.04;49.69%;71.43%;3.54%;1.54%;2.38
Diana;Fighter;MID;B;44.61;4.06;51.60%;26.01%;1.33%;1.54%;2.05
Dr. Mundo;Marksman;TOP;A;48.67;-2.74;50.46%;87.28%;2.87%;2.81%;1.87
Draven;Fighter;ADC;B;46.66;0.74;50.19%;95.49%;6.68%;17.63%;2.1
Ekko;Assassin;JUNGLE;A;52.2;0.67;50.99%;61.57%;4.54%;3.19%;2.68
Ekko;Assassin;MID;B;47.71;3.51;50.68%;35.39%;2.55%;3.19%;2.24
Elise;Mage;JUNGLE;B;44.57;-0.96;49.64%;93.98%;2.34%;2.51%;2.72
Evelynn;Assassin;JUNGLE;A;53.46;0.75;50.86%;97.95%;4.45%;8.75%;2.91
Ezreal;Marksman;ADC;God;86.72;16.68;50.13%;92.97%;18.39%;4.53%;2.47
Fiddlesticks;Mage;JUNGLE;A;50.18;-2.27;51.08%;79.07%;3.52%;3.14%;2.74
Fiddlesticks;Mage;SUPPORT;C;41.2;3.97;50.55%;12.14%;0.52%;3.03%;2.02
Fiora;Fighter;TOP;God;73.85;2.65;51.06%;97.44%;5.77%;13.73%;1.67
Fizz;Assassin;MID;S;61.32;1.86;52.11%;95.63%;5.58%;7.82%;2.39
Galio;Tank;MID;A;48.42;-0.73;51.16%;79.68%;1.98%;0.41%;2.58
Galio;Tank;SUPPORT;C;40.73;2.7;49.82%;15.68%;0.36%;0.40%;2.34
Gangplank;Fighter;TOP;B;47.86;-5.84;47.38%;84.35%;3.71%;3.61%;1.89
Gangplank;Fighter;MID;C;37.42;-1.73;48.38%;14.55%;0.66%;3.66%;2.16
Garen;Fighter;TOP;God;70.5;4.71;50.48%;84.98%;5.97%;2.00%;1.98
Gnar;Fighter;TOP;B;44.37;0.41;49.15%;96.31%;2.76%;0.48%;1.86
Gragas;Fighter;TOP;A;54.18;-0.53;48.80%;36.80%;3.82%;4.91%;2.13
Gragas;Fighter;JUNGLE;A;52.24;0.71;50.37%;45.22%;4.49%;4.91%;2.9
Gragas;Fighter;MID;B;44.96;1.19;50.55%;13.95%;1.45%;4.91%;2.37
