Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;A;53.42;-0.83;47.93%;91.71%;5.09%;5.03%;1.76
Ahri;Mage;MID;God;71.47;9.65;51.17%;95.35%;8.46%;2.76%;2.68
Akali;Assassin;MID;S;54.8;2.53;47.37%;73.01%;5.79%;9.72%;2.27
Akali;Assassin;TOP;D;36.77;1.48;45.47%;25.88%;1.94%;9.72%;1.96
Akshan;Marksman;MID;A;48.56;0.24;51.98%;64.74%;2.31%;3.42%;2.27
Akshan;Marksman;TOP;C;42.6;1.49;51.39%;26.76%;0.85%;3.42%;2
Alistar;Tank;SUPPORT;B;46.89;-1.87;50.03%;87.80%;2.58%;0.78%;2.43
Amumu;Tank;JUNGLE;A;47.97;-0.71;51.21%;57.84%;2.77%;2.98%;2.63
Amumu;Tank;SUPPORT;B;44.91;-0.84;50.39%;40.58%;1.60%;2.98%;2.06
Anivia;Mage;MID;A;53.05;1.12;52.35%;82.84%;2.48%;3.70%;2.93
Anivia;Mage;SUPPORT;D;37.01;2.12;46.46%;11.07%;0.27%;3.59%;2.18
Annie;Mage;MID;S;57.18;-0.84;52.79%;51.27%;3.75%;8.77%;2.49
Annie;Mage;SUPPORT;A;54.21;-2.38;52.84%;45.50%;3.66%;8.77%;2.64
Aphelios;Marksman;ADC;D;36.78;5.38;47.96%;97.57%;6.31%;0.77%;2.01
Ashe;Marksman;ADC;A;52.22;15.48;51.67%;70.93%;7.73%;3.07%;2.42
Ashe;Marksman;SUPPORT;C;41.4;-3.8;47.11%;26.26%;2.77%;3.07%;2.13
Aurelion Sol;Mage;MID;God;82.04;-12.01;50.91%;88.18%;7.75%;34.09%;2.6
Azir;Mage;MID;D;27.55;-7.36;42.78%;85.93%;1.46%;0.36%;1.96
Bard;Support;SUPPORT;B;47.81;0.91;50.06%;95.77%;1.87%;0.29%;2.97
Bel'Veth;Fighter;JUNGLE;A;48.9;-1.86;51.25%;91.99%;3.41%;5.88%;2.38
Blitzcrank;Tank;SUPPORT;S;59.48;-2.11;51.74%;96.95%;7.73%;21.15%;2.45
Brand;Mage;SUPPORT;B;46.44;0.6;50.75%;75.41%;2.80%;3.51%;1.82
Brand;Mage;MID;C;40.09;-1.83;51.00%;18.00%;0.74%;3.86%;2.06
Braum;Support;SUPPORT;B;46.63;-1.19;49.86%;97.97%;1.77%;0.30%;2.76
Caitlyn;Marksman;ADC;God;68.42;-11.52;48.86%;95.74%;14.36%;12.80%;2.16
Camille;Fighter;TOP;A;53.99;-2.31;50.12%;94.06%;4.17%;2.21%;1.95
Cassiopeia;Mage;MID;A;50.53;1.39;52.54%;78.96%;2.62%;2.75%;2.24
Cassiopeia;Mage;TOP;C;42.27;3.74;52.15%;13.62%;0.49%;2.75%;1.97
Cho'Gath;Tank;TOP;S;58.88;-0.34;52.19%;64.87%;4.20%;1.80%;2.14
Cho'Gath;Tank;MID;B;46.51;0.19;53.02%;16.53%;1.00%;1.80%;2.47
Corki;Marksman;MID;D;35.71;-1.02;47.95%;88.81%;0.91%;0.17%;2.17
Darius;Fighter;TOP;God;76.16;-14.73;48.94%;93.71%;8.13%;20.89%;1.83
Diana;Fighter;JUNGLE;A;52.38;1.53;50.72%;69.85%;4.97%;3.01%;2.44
Diana;Fighter;MID;B;44.94;-0.83;50.77%;28.09%;2.14%;3.01%;2.09
Dr. Mundo;Marksman;TOP;A;53.2;3.06;52.20%;75.97%;3.06%;3.00%;1.94
Dr. Mundo;Marksman;JUNGLE;B;43.78;0;52.06%;19.87%;0.74%;3.00%;2.64
Draven;Fighter;ADC;B;44.22;-3.73;49.06%;95.60%;6.15%;21.05%;2.08
Ekko;Assassin;JUNGLE;S;57.27;0.57;50.86%;69.71%;5.92%;5.13%;2.73
Ekko;Assassin;MID;B;45.4;-1.19;50.06%;27.84%;2.34%;5.13%;2.26
Elise;Mage;JUNGLE;B;46.19;-2.33;49.64%;95.00%;2.93%;5.46%;2.73
Evelynn;Assassin;JUNGLE;A;52.02;0.07;49.90%;97.56%;4.28%;9.28%;2.9
Ezreal;Marksman;ADC;S;64.14;-15.05;48.18%;92.98%;14.69%;3.05%;2.35
Fiddlesticks;Mage;JUNGLE;A;52.97;1.52;52.26%;86.18%;3.51%;3.68%;2.78
Fiora;Fighter;TOP;God;65.45;-5.14;50.61%;97.39%;6.07%;14.23%;1.72
Fizz;Assassin;MID;S;58.4;2.48;50.77%;95.38%;5.18%;5.81%;2.45
Galio;Tank;MID;A;50.06;2.68;51.27%;81.36%;2.48%;0.47%;2.76
Galio;Tank;SUPPORT;B;44.84;5.84;50.57%;13.83%;0.39%;0.47%;2.44
Gangplank;Fighter;TOP;S;54.67;-9.56;48.33%;79.02%;4.81%;8.20%;1.94
Gangplank;Fighter;MID;D;35.63;-7.04;47.21%;19.68%;1.24%;8.20%;2.1
Garen;Fighter;TOP;A;54.44;-1.17;50.00%;85.23%;4.32%;1.31%;1.99
Gnar;Fighter;TOP;B;46.21;0.02;48.05%;96.86%;3.41%;0.52%;1.86
Gragas;Fighter;JUNGLE;S;58.53;0.45;50.35%;54.12%;6.08%;6.07%;2.97
Gragas;Fighter;TOP;A;50.88;0.93;49.33%;28.88%;3.26%;6.07%;2.2
Gragas;Fighter;MID;B;44.98;-2.6;50.71%;13.59%;1.48%;6.07%;2.56
Graves;Marksman;JUNGLE;B;45.73;-2.28;48.51%;87.34%;3.98%;1.43%;2.57
Gwen;Fighter;TOP;A;50.37;4.77;50.70%;88.17%;3.35%;1.23%;1.76
Hecarim;Fighter;JUNGLE;S;61.73;4.72;49.34%;98.59%;7.95%;11.17%;2.67
Heimerdinger;Mage;SUPPORT;B;43.89;-0.86;49.99%;49.79%;1.50%;2.34%;2
Heimerdinger;Mage;MID;B;43.35;-1.42;53.05%;23.55%;0.74%;2.34%;1.99
Heimerdinger;Mage;TOP;C;38.82;1.76;51.03%;17.15%;0.54%;2.41%;1.68
Heimerdinger;Mage;ADC;D;35.69;0;54.69%;10.11%;0.26%;2.34%;2.18
Illaoi;Fighter;TOP;S;59.3;-6.77;50.44%;94.21%;5.28%;11.47%;1.45
Irelia;Fighter;TOP;A;53.4;-4.93;49.20%;48.67%;4.30%;14.38%;1.59
Irelia;Fighter;MID;A;51.74;2.87;49.44%;49.68%;4.44%;14.38%;1.8
Ivern;Support;JUNGLE;C;39.51;1.16;47.60%;80.89%;0.99%;0.38%;3.38
Ivern;Support;SUPPORT;D;30.37;-2.95;42.16%;10.51%;0.11%;0.33%;2.39
Janna;Support;SUPPORT;A;50.43;1.99;50.83%;97.02%;2.39%;0.45%;3.15
Jarvan IV;Tank;JUNGLE;God;81.55;-0.11;53.34%;93.56%;10.28%;13.92%;3.37
Jax;Fighter;TOP;God;75.55;-12.93;51.08%;85.86%;7.83%;16.24%;1.71
Jax;Fighter;JUNGLE;D;36.91;-1.32;48.94%;12.04%;1.16%;15.72%;2.15
Jayce;Fighter;TOP;S;61.46;-3.72;49.64%;75.55%;6.14%;3.99%;1.82
Jayce;Fighter;MID;B;44.49;-2.12;50.92%;22.82%;1.80%;3.99%;2.18
Jhin;Marksman;ADC;God;65.89;-6.38;50.59%;95.41%;12.15%;2.85%;2.89
Jinx;Marksman;ADC;God;93.63;-0.7;51.65%;98.94%;21.54%;5.91%;2.37
K'Sante;Fighter;TOP;A;50.52;2.43;45.80%;87.40%;5.18%;4.26%;1.9
K'Sante;Fighter;MID;D;31.1;0;46.20%;10.36%;0.64%;4.26%;2.03
Kai'Sa;Marksman;ADC;God;72.5;-17.58;50.20%;93.96%;15.85%;2.88%;2.45
Kalista;Marksman;ADC;D;25.43;2.34;47.48%;86.48%;2.20%;0.55%;2.2
Karma;Mage;SUPPORT;A;51.77;0.27;49.01%;86.53%;6.57%;1.56%;2.74
Karthus;Mage;JUNGLE;C;41.19;-0.1;49.20%;62.61%;2.05%;2.35%;2.47
Karthus;Mage;MID;D;37.25;-2.62;49.69%;10.28%;0.32%;2.35%;2.28
Karthus;Mage;ADC;D;35.59;7.67;53.64%;20.50%;0.77%;2.35%;2.29
Kassadin;Assassin;MID;B;46.15;-0.56;49.41%;96.33%;2.41%;8.49%;2.51
Katarina;Assassin;MID;God;72.75;16.27;48.83%;95.13%;9.69%;9.72%;2.3
Kayle;Fighter;TOP;A;49.04;-0.7;51.17%;82.69%;2.79%;0.64%;1.8
Kayle;Fighter;MID;C;39.09;-4.84;50.91%;14.12%;0.41%;0.64%;2.15
Kayn;Fighter;JUNGLE;God;67.91;-0.3;50.43%;97.10%;9.86%;9.50%;2.42
Kennen;Mage;TOP;A;48.87;0.96;50.34%;79.40%;2.77%;1.48%;2.03
Kennen;Mage;MID;B;47.76;0.22;54.68%;16.68%;0.56%;1.48%;2.45
Kha'Zix;Assassin;JUNGLE;A;49.65;1.14;49.85%;98.04%;4.50%;1.63%;2.54
Kindred;Marksman;JUNGLE;B;47.01;-0.16;49.96%;94.40%;3.90%;4.11%;2.24
Kled;Fighter;TOP;A;50.77;-1.11;50.97%;86.88%;2.65%;1.86%;2.26
Kled;Fighter;MID;B;46.31;0;54.08%;10.74%;0.29%;1.86%;2.58
Kog'Maw;Marksman;ADC;D;34.27;7.86;51.93%;87.25%;1.83%;0.35%;2.22
LeBlanc;Assassin;MID;S;58.07;2.74;48.80%;92.17%;5.32%;8.39%;2.85
Lee Sin;Fighter;JUNGLE;God;92.82;-0.78;49.60%;92.60%;17.01%;13.09%;2.78
Leona;Tank;SUPPORT;A;49.82;-0.39;50.70%;98.31%;4.00%;3.55%;2.35
Lillia;Fighter;JUNGLE;B;44.43;-2.53;49.88%;83.24%;2.36%;1.07%;2.7
Lillia;Fighter;TOP;C;38.39;2.12;50.45%;12.63%;0.34%;1.07%;1.95
Lissandra;Mage;MID;A;51.12;0.83;50.80%;94.17%;3.37%;1.18%;2.48
Lucian;Marksman;ADC;B;45.52;1.36;49.68%;91.36%;7.33%;1.88%;2.28
Lulu;Support;SUPPORT;S;56.53;-2.87;48.89%;97.64%;8.85%;8.23%;2.98
Lux;Mage;MID;S;60.62;2.93;50.65%;30.10%;4.82%;11.47%;2.91
Lux;Mage;SUPPORT;S;60.58;-7.72;49.68%;67.03%;11.21%;11.47%;2.41
Malphite;Tank;TOP;God;97.15;6.83;53.03%;78.65%;10.61%;15.58%;2.53
Malzahar;Mage;MID;A;54.51;3.73;52.56%;90.60%;3.56%;4.09%;2.31
Maokai;Tank;SUPPORT;B;47.56;0.2;52.01%;33.60%;1.19%;1.78%;2.21
Maokai;Tank;JUNGLE;B;46.01;1.3;51.06%;48.27%;1.72%;1.78%;2.92
Maokai;Tank;TOP;B;43.5;11.8;51.54%;16.76%;0.58%;1.78%;2.33
Master Yi;Assassin;JUNGLE;S;61.68;3.5;50.32%;93.08%;7.55%;16.33%;2.09
Milio;Support;SUPPORT;God;94.08;0;50.75%;96.96%;24.37%;28.86%;3.23
Miss Fortune;Marksman;ADC;A;53.19;-6.85;50.49%;89.00%;9.39%;2.24%;2.23
Mordekaiser;Fighter;TOP;God;71.67;-5.59;50.93%;84.43%;7.15%;11.91%;1.89
Morgana;Mage;SUPPORT;S;54.76;-4.75;49.95%;88.93%;5.95%;25.91%;2.45
Nami;Support;SUPPORT;A;52.82;-2.38;49.71%;99.49%;5.69%;1.05%;3.07
Nasus;Fighter;TOP;A;54.03;-5.79;49.48%;81.56%;4.38%;4.03%;1.92
Nasus;Fighter;MID;C;38.12;-5.1;50.37%;10.07%;0.38%;4.03%;2.16
Nautilus;Tank;SUPPORT;S;55.99;-5.1;50.30%;94.70%;8.26%;10.83%;2.33
Neeko;Mage;SUPPORT;B;46.01;5.81;51.93%;22.21%;0.44%;0.35%;2.1
Neeko;Mage;MID;C;42.39;-5.56;50.74%;57.44%;1.27%;0.35%;2.26
Neeko;Mage;TOP;D;36.13;1.1;49.71%;13.82%;0.20%;0.35%;1.9
Nidalee;Assassin;JUNGLE;B;44.44;-2.72;47.57%;90.00%;3.64%;2.90%;2.81
Nilah;Marksman;ADC;D;37.29;-1.41;52.00%;95.90%;2.70%;3.89%;2.24
Nocturne;Assassin;JUNGLE;S;56.68;-2.16;52.01%;95.24%;5.11%;3.89%;2.67
Nunu;Tank;JUNGLE;A;47.95;-1.93;48.92%;92.12%;4.23%;1.59%;2.71
Olaf;Fighter;TOP;S;60.23;-2.36;52.88%;87.25%;4.34%;7.07%;1.85
Olaf;Fighter;JUNGLE;D;35.66;-3.8;49.29%;10.47%;0.50%;7.07%;2.22
Orianna;Mage;MID;A;49.79;1.35;51.41%;92.87%;2.36%;0.19%;2.75
Ornn;Tank;TOP;A;53.31;0.19;50.78%;92.93%;3.16%;0.48%;2.42
Pantheon;Fighter;MID;A;54.47;3.5;52.87%;35.24%;3.36%;3.96%;2.35
Pantheon;Fighter;TOP;A;52.34;2.65;51.07%;34.68%;3.15%;3.96%;2.08
Pantheon;Fighter;SUPPORT;C;41.4;0.44;48.35%;19.06%;1.83%;3.96%;1.91
Poppy;Tank;TOP;B;43.13;-0.39;50.63%;45.24%;1.21%;0.79%;2.1
Poppy;Tank;JUNGLE;C;41.75;-0.44;50.25%;44.41%;1.18%;0.79%;2.69
Pyke;Support;SUPPORT;A;51.42;-6.2;48.74%;94.64%;7.18%;12.73%;2.16
Qiyana;Assassin;MID;B;43.94;-1.56;48.58%;82.94%;2.98%;1.02%;2.09
Qiyana;Assassin;JUNGLE;D;26.59;-2.28;44.75%;12.02%;0.39%;1.02%;2.25
Quinn;Marksman;TOP;B;43.71;2.11;51.78%;76.23%;1.13%;0.51%;1.88
Quinn;Marksman;MID;C;40.88;1.08;52.34%;12.57%;0.18%;0.51%;2.17
Rakan;Support;SUPPORT;S;61.59;-3.06;52.38%;98.67%;8.89%;3.01%;2.97
Rammus;Tank;JUNGLE;S;55.14;0.49;52.81%;81.11%;3.07%;8.91%;3.14
Rammus;Tank;TOP;C;41.37;0.89;52.31%;15.21%;0.46%;8.91%;1.76
Rek'Sai;Fighter;JUNGLE;C;40.94;2.43;50.03%;94.06%;1.38%;0.72%;2.51
Rell;Tank;SUPPORT;B;47.18;-1.01;51.19%;97.61%;1.33%;0.31%;2.45
Renata Glasc;Support;SUPPORT;A;49.58;1;51.38%;98.81%;2.16%;0.79%;2.72
Renekton;Fighter;TOP;B;45.94;-3.88;47.02%;85.42%;3.87%;2.51%;1.75
