Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;S;64.49;2.26;49.51%;92.23%;5.55%;4.48%;1.87
Ahri;Mage;MID;God;86.09;2.66;51.63%;95.91%;12.78%;7.62%;2.63
Akali;Assassin;MID;A;50.57;-0.25;48.03%;78.54%;4.72%;6.89%;2.26
Akali;Assassin;TOP;D;31.65;-1.49;47.37%;20.31%;1.16%;7.33%;2.07
Akshan;Marksman;MID;A;52.11;0.3;50.09%;68.35%;4.12%;8.98%;2.12
Akshan;Marksman;TOP;C;35.6;-3.01;48.30%;25.47%;1.58%;8.98%;1.87
Alistar;Tank;SUPPORT;A;48.78;0.22;52.14%;92.36%;2.72%;0.75%;2.52
Amumu;Tank;JUNGLE;A;55.05;0.91;52.49%;69.23%;4.59%;4.21%;2.77
Amumu;Tank;SUPPORT;B;45.39;0.78;52.46%;29.46%;1.73%;4.21%;2.13
Anivia;Mage;MID;A;50.08;-1.11;51.53%;76.24%;1.82%;2.64%;2.79
Anivia;Mage;SUPPORT;D;31.34;0.23;46.56%;15.09%;0.28%;2.64%;2.19
Annie;Mage;MID;S;58.46;2.49;51.82%;77.31%;4.93%;3.78%;2.38
Annie;Mage;SUPPORT;A;48.65;4.72;54.28%;19.12%;1.27%;3.78%;2.56
Aphelios;Marksman;ADC;S;61.39;8.12;50.00%;97.82%;13.27%;4.07%;2.03
Ashe;Marksman;SUPPORT;C;41.22;1.25;47.22%;40.49%;3.50%;1.58%;2.12
Ashe;Marksman;ADC;C;36.61;-7.74;47.96%;55.96%;5.28%;1.58%;2.19
Aurelion Sol;Mage;MID;S;65.21;-2.53;52.06%;89.81%;6.02%;12.82%;2.52
Azir;Mage;MID;C;36.41;-1.68;47.19%;87.91%;1.52%;0.37%;1.95
Bard;Support;SUPPORT;C;41.28;-3.05;48.51%;95.00%;2.04%;0.31%;2.7
Bel'Veth;Fighter;JUNGLE;B;45.64;-10.16;48.77%;88.65%;4.07%;7.82%;2.29
Blitzcrank;Tank;SUPPORT;God;68.58;-4;50.52%;97.26%;8.32%;25.57%;2.35
Brand;Mage;SUPPORT;B;42.58;-0.32;49.95%;76.08%;2.69%;3.29%;1.76
Brand;Mage;MID;C;35.65;-3.23;48.00%;17.51%;0.70%;4.01%;1.97
Braum;Support;SUPPORT;B;47.37;1.47;51.20%;98.09%;2.40%;0.39%;2.84
Caitlyn;Marksman;ADC;A;53.08;-0.16;48.95%;94.65%;10.16%;7.63%;2.15
Camille;Fighter;TOP;A;52.91;1.61;49.32%;93.74%;4.00%;2.05%;1.86
Cassiopeia;Mage;MID;B;47.64;-2.5;51.35%;77.85%;2.22%;2.71%;2.14
