Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;God;74.64;-4.26;48.62%;92.39%;7.48%;5.38%;1.83
Ahri;Mage;MID;God;82.14;0.78;50.69%;94.92%;11.31%;6.58%;2.6
Akali;Assassin;MID;S;60.44;-1.17;48.67%;78.50%;6.74%;8.12%;2.29
Akali;Assassin;TOP;C;36.94;-1.83;47.65%;20.40%;1.68%;8.12%;2.05
Akshan;Marksman;MID;A;48.75;2.34;50.82%;68.79%;2.75%;5.64%;2.19
Akshan;Marksman;TOP;C;36.41;0.49;50.01%;23.75%;0.97%;5.64%;1.94
Alistar;Tank;SUPPORT;A;49.73;1.26;51.48%;94.50%;3.36%;0.84%;2.48
Amumu;Tank;JUNGLE;B;45.81;-3.31;51.27%;54.27%;2.81%;2.78%;2.64
Amumu;Tank;SUPPORT;B;42.02;-3.36;50.73%;44.34%;1.81%;2.78%;2.11
Anivia;Mage;MID;A;52.69;1.76;52.76%;77.27%;2.07%;2.35%;2.75
Anivia;Mage;SUPPORT;D;30.25;-9.26;46.83%;13.97%;0.33%;2.36%;2.11
Annie;Mage;MID;A;57.06;1.55;52.15%;79.81%;4.13%;3.19%;2.41
Annie;Mage;SUPPORT;C;39.9;-6.54;50.88%;16.67%;0.83%;3.19%;2.33
Aphelios;Marksman;ADC;S;68.18;5.93;48.48%;98.04%;15.50%;5.33%;2
Ashe;Marksman;ADC;S;63.17;27.47;52.39%;78.44%;10.57%;2.45%;2.4
Ashe;Marksman;SUPPORT;C;35.44;-4.03;45.71%;18.79%;2.55%;2.45%;2.05
Aurelion Sol;Mage;MID;A;53.52;-2.24;50.83%;87.80%;3.49%;6.92%;2.54
Azir;Mage;MID;A;47.25;3.13;49.30%;90.86%;3.41%;0.66%;2.12
Bard;Support;SUPPORT;B;46.28;3.15;50.55%;94.00%;2.30%;0.30%;2.9
Bel'Veth;Fighter;JUNGLE;A;48.12;0.16;50.99%;89.26%;3.66%;5.19%;2.42
Blitzcrank;Tank;SUPPORT;God;74.47;11.18;51.27%;97.05%;8.60%;23.55%;2.4
Brand;Mage;SUPPORT;B;45.08;3.68;51.08%;75.82%;2.93%;3.37%;1.76
Brand;Mage;MID;D;34.75;-2.93;48.05%;16.62%;0.68%;3.70%;1.97
Braum;Support;SUPPORT;B;46.49;0.23;50.23%;98.00%;2.68%;0.44%;2.78
Caitlyn;Marksman;ADC;A;49.55;-6.7;48.13%;94.89%;9.39%;6.48%;2.11
Camille;Fighter;TOP;A;51.49;-1.03;50.55%;93.41%;3.29%;1.74%;1.91
Cassiopeia;Mage;MID;A;48.51;0.45;52.36%;70.83%;1.96%;2.09%;2.19
Cassiopeia;Mage;TOP;C;39.37;1.36;52.82%;18.95%;0.55%;2.09%;1.93
Cho'Gath;Tank;TOP;A;53.31;0.62;52.05%;65.80%;2.92%;1.30%;2.07
Cho'Gath;Tank;MID;B;43.65;-0.53;51.64%;19.03%;0.72%;1.30%;2.35
Corki;Marksman;MID;C;37.46;-3.09;48.24%;87.81%;1.13%;0.20%;2.14
Darius;Fighter;TOP;God;87.19;1.96;49.23%;93.12%;7.99%;17.87%;1.81
Diana;Fighter;MID;B;43.05;-1.56;51.02%;25.68%;1.22%;1.46%;2.13
Diana;Fighter;JUNGLE;B;42.02;-3.79;49.21%;71.78%;3.38%;1.46%;2.32
Dr. Mundo;Marksman;TOP;A;53.17;4.5;52.87%;87.59%;2.74%;2.70%;1.91
Draven;Fighter;ADC;A;49.1;2.44;50.27%;95.38%;6.63%;19.58%;2.14
Ekko;Assassin;JUNGLE;A;50.56;-1.64;49.74%;62.39%;4.63%;2.97%;2.64
Ekko;Assassin;MID;B;45.93;-1.78;50.00%;34.44%;2.48%;2.97%;2.19
Elise;Mage;JUNGLE;C;35.51;-9.06;48.11%;93.13%;1.93%;2.15%;2.68
Evelynn;Assassin;JUNGLE;A;54.7;1.25;50.71%;97.89%;4.51%;8.40%;2.91
Ezreal;Marksman;ADC;God;92.82;6.1;50.37%;85.18%;20.40%;7.80%;2.5
Ezreal;Marksman;MID;B;41.03;0;46.62%;12.90%;2.94%;7.80%;2.06
Fiddlesticks;Mage;JUNGLE;A;48.64;-1.53;51.22%;78.56%;3.35%;3.10%;2.74
Fiddlesticks;Mage;SUPPORT;C;38.01;-3.18;51.06%;13.31%;0.55%;2.98%;2.02
Fiora;Fighter;TOP;S;69.16;-4.7;50.67%;97.51%;5.57%;13.40%;1.68
Fizz;Assassin;MID;S;60.9;-0.42;51.00%;94.85%;5.51%;8.18%;2.4
Galio;Tank;MID;B;46.16;-2.26;50.49%;76.97%;1.64%;0.32%;2.64
Galio;Tank;SUPPORT;C;35.94;-4.78;49.51%;18.25%;0.38%;0.32%;2.33
Gangplank;Fighter;TOP;S;58.63;10.77;49.77%;85.67%;4.59%;4.05%;1.92
Gangplank;Fighter;MID;B;42.62;5.2;51.40%;13.55%;0.78%;4.13%;2.19
Garen;Fighter;TOP;S;70.34;-0.16;50.79%;86.72%;6.13%;2.13%;1.99
