Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;A;54.25;2.78;46.86%;92.37%;5.15%;5.83%;1.78
Ahri;Mage;MID;S;61.82;2.39;50.95%;94.63%;7.43%;2.42%;2.67
Akali;Assassin;MID;A;52.27;1.2;47.11%;73.97%;6.22%;10.29%;2.27
Akali;Assassin;TOP;D;35.28;-2.37;45.81%;24.91%;2.05%;10.29%;1.95
Akshan;Marksman;MID;A;48.32;1.38;51.29%;67.81%;2.33%;3.50%;2.25
Akshan;Marksman;TOP;C;41.11;-1.46;52.13%;22.94%;0.80%;3.50%;2.01
Alistar;Tank;SUPPORT;A;48.76;0.68;50.35%;87.08%;3.37%;0.96%;2.44
Amumu;Tank;JUNGLE;A;48.68;-1.97;50.43%;55.97%;3.13%;4.11%;2.66
Amumu;Tank;SUPPORT;B;45.76;2.37;50.61%;42.69%;2.06%;4.11%;2.07
Anivia;Mage;MID;A;51.93;-1.63;51.44%;84.17%;2.52%;3.66%;2.89
Anivia;Mage;SUPPORT;D;34.89;3.52;45.79%;10.45%;0.29%;3.56%;2.16
Annie;Mage;MID;S;58.02;0.04;52.98%;49.75%;4.28%;11.98%;2.51
Annie;Mage;SUPPORT;S;56.59;-7.79;53.01%;47.28%;4.38%;11.98%;2.6
Aphelios;Marksman;ADC;D;31.4;1.26;47.17%;97.62%;5.75%;0.73%;2.02
Ashe;Marksman;SUPPORT;B;45.2;-29.25;47.37%;46.06%;4.41%;5.56%;2.15
Ashe;Marksman;ADC;C;36.75;-6.29;48.68%;51.00%;5.38%;5.56%;2.29
Aurelion Sol;Mage;MID;God;94.06;-0.48;52.33%;87.99%;10.39%;48.11%;2.67
Azir;Mage;MID;D;34.91;-3.6;44.27%;89.60%;2.12%;0.46%;1.96
Bard;Support;SUPPORT;B;46.9;2.18;49.63%;96.14%;2.13%;0.30%;2.91
Bel'Veth;Fighter;JUNGLE;A;50.76;2.99;51.35%;89.97%;3.64%;6.28%;2.39
Blitzcrank;Tank;SUPPORT;S;61.59;-8.66;51.25%;97.12%;7.90%;19.22%;2.42
Brand;Mage;SUPPORT;B;45.84;3.16;50.11%;75.42%;3.04%;3.68%;1.77
Brand;Mage;MID;B;41.92;0.71;50.26%;16.94%;0.79%;4.46%;2.02
Braum;Support;SUPPORT;B;47.83;2.25;50.57%;98.30%;2.02%;0.31%;2.79
Caitlyn;Marksman;ADC;God;79.94;-11.44;48.73%;94.65%;14.60%;15.67%;2.18
Camille;Fighter;TOP;S;56.3;-1.03;49.55%;93.77%;4.50%;2.19%;1.95
Cassiopeia;Mage;MID;A;49.14;-1.47;51.60%;78.10%;2.49%;2.58%;2.24
Cassiopeia;Mage;TOP;C;38.53;-4.57;52.10%;13.70%;0.47%;2.58%;1.92
Cho'Gath;Tank;TOP;S;59.22;4.89;51.55%;55.51%;4.08%;2.01%;2.11
Cho'Gath;Tank;MID;B;46.33;-2.1;51.68%;15.86%;1.07%;2.01%;2.35
Cho'Gath;Tank;ADC;D;18.72;0;48.10%;19.19%;1.35%;2.01%;2.24
Corki;Marksman;MID;C;36.73;-3.94;46.71%;89.23%;0.85%;0.15%;2.14
Darius;Fighter;TOP;God;90.89;0.78;49.49%;93.61%;8.56%;21.40%;1.82
Diana;Fighter;JUNGLE;A;50.85;-1.77;49.98%;66.45%;4.71%;3.24%;2.41
Diana;Fighter;MID;B;45.77;2.03;50.54%;31.46%;2.12%;3.24%;2.07
Dr. Mundo;Marksman;TOP;A;50.14;-1.34;51.53%;85.85%;2.71%;2.92%;1.89
Draven;Fighter;ADC;B;47.95;0.14;49.36%;95.57%;6.60%;20.76%;2.12
Ekko;Assassin;JUNGLE;S;56.7;-1.56;50.77%;67.34%;5.58%;5.03%;2.72
Ekko;Assassin;MID;B;46.59;-0.51;50.02%;29.96%;2.36%;5.03%;2.29
Elise;Mage;JUNGLE;A;48.52;-1.9;49.96%;95.24%;3.11%;8.11%;2.71
Evelynn;Assassin;JUNGLE;A;51.95;-0.31;49.52%;98.03%;4.24%;9.17%;2.9
Ezreal;Marksman;ADC;God;79.2;7.47;48.15%;93.33%;16.57%;3.61%;2.38
Fiddlesticks;Mage;JUNGLE;A;51.46;1.58;51.03%;86.81%;3.57%;4.00%;2.74
Fiora;Fighter;TOP;God;70.59;-0.33;50.47%;97.77%;5.98%;14.57%;1.71
Fizz;Assassin;MID;A;55.92;6.64;51.32%;95.51%;4.97%;5.30%;2.44
Galio;Tank;MID;B;47.38;-0.47;50.43%;80.64%;1.83%;0.30%;2.65
Galio;Tank;SUPPORT;C;39;6.85;48.09%;16.05%;0.35%;0.29%;2.25
Gangplank;Fighter;TOP;S;64.23;-23.35;47.70%;79.41%;6.01%;11.64%;1.86
