Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;A;50.83;1.39;47.60%;91.15%;4.35%;4.33%;1.8
Ahri;Mage;MID;God;84.64;5.91;51.20%;95.88%;11.52%;5.03%;2.68
Akali;Assassin;MID;A;53.28;-1.05;47.47%;73.95%;5.46%;8.92%;2.28
Akali;Assassin;TOP;C;37.6;-1.37;47.63%;24.93%;1.76%;8.92%;1.94
Akshan;Marksman;MID;A;51.96;5.85;52.42%;67.99%;2.97%;5.75%;2.26
Akshan;Marksman;TOP;B;42.87;0.03;52.34%;24.12%;1.02%;5.75%;2.01
Alistar;Tank;SUPPORT;A;47.59;-0.28;49.96%;91.07%;3.59%;1.05%;2.42
Amumu;Tank;JUNGLE;C;41.13;-4.08;49.84%;53.54%;2.39%;2.24%;2.61
Amumu;Tank;SUPPORT;C;40.42;-2.47;49.93%;44.40%;1.62%;2.24%;2.04
Anivia;Mage;MID;A;53.17;5.58;52.95%;81.33%;2.22%;3.43%;2.9
Anivia;Mage;SUPPORT;D;27.45;-1.08;44.84%;12.68%;0.31%;3.40%;2.19
Annie;Mage;MID;A;53.87;-1.76;52.25%;68.72%;3.39%;4.46%;2.41
Annie;Mage;SUPPORT;B;41.76;-3.54;50.42%;25.72%;1.29%;4.46%;2.37
Aphelios;Marksman;ADC;B;44.64;1.13;47.61%;97.67%;9.55%;1.78%;2
Ashe;Marksman;ADC;B;46.04;-3.35;50.09%;71.04%;6.77%;1.95%;2.34
Ashe;Marksman;SUPPORT;C;37.56;0.46;47.23%;25.90%;2.32%;1.95%;2.1
Aurelion Sol;Mage;MID;S;65.76;-6.47;50.89%;88.91%;5.89%;18.09%;2.59
Azir;Mage;MID;D;34.77;-0.85;46.51%;87.67%;1.81%;0.35%;2.02
Bard;Support;SUPPORT;B;43.25;-0.47;49.04%;96.28%;2.06%;0.31%;2.9
Bel'Veth;Fighter;JUNGLE;A;51.09;2.08;51.87%;89.43%;3.76%;6.32%;2.43
Blitzcrank;Tank;SUPPORT;God;72.45;2.07;51.13%;97.19%;8.64%;24.91%;2.41
Brand;Mage;SUPPORT;B;45.83;1.85;50.78%;74.67%;3.11%;3.61%;1.82
Brand;Mage;MID;D;34.63;-2.18;48.61%;16.91%;0.73%;3.97%;1.97
Braum;Support;SUPPORT;B;46.12;2.15;50.30%;98.23%;2.44%;0.36%;2.74
Caitlyn;Marksman;ADC;A;53.58;-4.24;48.44%;95.56%;11.59%;10.21%;2.13
Camille;Fighter;TOP;A;52.08;-0.14;49.29%;93.31%;3.92%;2.07%;1.92
Cassiopeia;Mage;MID;A;51.76;1.47;52.70%;79.08%;2.85%;3.45%;2.25
Cassiopeia;Mage;TOP;C;39.69;-3.57;52.40%;13.60%;0.51%;3.45%;1.96
Cho'Gath;Tank;TOP;S;59.36;2.76;52.42%;66.41%;3.89%;1.95%;2.11
Cho'Gath;Tank;MID;B;43.06;-2;51.75%;17.30%;0.89%;1.95%;2.36
Corki;Marksman;MID;B;41.25;10.14;51.31%;88.17%;0.84%;0.16%;2.22
Darius;Fighter;TOP;God;81.77;12.57;48.85%;92.74%;7.76%;20.00%;1.81
Diana;Fighter;JUNGLE;A;48.17;-3.99;49.74%;66.32%;4.41%;2.76%;2.4
Diana;Fighter;MID;B;42.98;0.16;50.07%;31.29%;2.10%;2.76%;2.07
Dr. Mundo;Marksman;TOP;A;55.25;0.17;52.62%;83.98%;3.22%;3.17%;1.93
Dr. Mundo;Marksman;JUNGLE;C;36.1;-6.64;51.41%;10.37%;0.41%;3.45%;2.55
Draven;Fighter;ADC;B;45.52;-0.4;50.20%;95.71%;5.67%;20.54%;2.11
Ekko;Assassin;JUNGLE;S;57.95;0.5;50.96%;68.55%;5.50%;5.00%;2.72
Ekko;Assassin;MID;B;45.12;0.29;50.22%;28.83%;2.32%;5.00%;2.24
Elise;Mage;JUNGLE;B;45.1;0.03;50.32%;94.74%;2.81%;4.70%;2.74
Evelynn;Assassin;JUNGLE;A;52.3;0.96;50.23%;97.84%;4.09%;10.23%;2.9
Ezreal;Marksman;ADC;God;74.48;13.44;49.27%;94.56%;20.63%;5.65%;2.44
Fiddlesticks;Mage;JUNGLE;A;50.92;2.55;51.37%;82.78%;3.62%;4.35%;2.76
Fiddlesticks;Mage;SUPPORT;C;39.24;0;51.00%;13.11%;0.50%;4.23%;2.06
Fiora;Fighter;TOP;God;68.64;7.54;50.65%;97.39%;5.84%;13.43%;1.7
Fizz;Assassin;MID;S;60.04;0.76;50.95%;95.35%;5.51%;6.78%;2.39
Galio;Tank;MID;A;48.38;-0.63;51.04%;80.47%;2.28%;0.46%;2.68
Galio;Tank;SUPPORT;D;35.47;0.41;48.82%;14.87%;0.38%;0.41%;2.25
Gangplank;Fighter;TOP;A;53.29;0.51;48.70%;79.34%;4.18%;5.65%;1.93
Gangplank;Fighter;MID;D;33.61;-1.6;47.05%;19.15%;1.10%;5.65%;2.06
Garen;Fighter;TOP;S;66.87;13.63;50.42%;85.97%;6.00%;1.95%;2.07
Gnar;Fighter;TOP;B;42.19;-4.8;47.81%;96.04%;2.84%;0.52%;1.82
Gragas;Fighter;JUNGLE;S;60.07;-2.13;50.17%;54.48%;5.77%;8.47%;2.93
Gragas;Fighter;TOP;A;50.92;1.02;48.80%;30.11%;3.29%;8.47%;2.17
Gragas;Fighter;MID;B;43.61;-0.77;50.84%;11.63%;1.23%;8.47%;2.47
Graves;Marksman;JUNGLE;A;53.92;-3.36;49.00%;86.75%;5.92%;2.59%;2.58
Gwen;Fighter;TOP;A;51.99;2.42;50.22%;90.12%;3.80%;1.71%;1.73
Hecarim;Fighter;JUNGLE;S;68.05;3.22;51.05%;99.03%;6.96%;14.13%;2.74
Heimerdinger;Mage;SUPPORT;B;42.66;1.92;51.43%;51.09%;1.46%;2.00%;2
Heimerdinger;Mage;MID;B;41.36;0.15;52.29%;23.23%;0.71%;2.00%;1.97
Heimerdinger;Mage;TOP;C;38.48;-1.89;52.57%;17.60%;0.52%;2.00%;1.72
Illaoi;Fighter;TOP;S;61.98;2.86;50.46%;93.86%;5.11%;12.06%;1.44
Irelia;Fighter;TOP;A;54.24;1.68;49.33%;46.75%;4.13%;13.44%;1.59
Irelia;Fighter;MID;A;52.21;0.78;49.92%;51.54%;4.49%;13.44%;1.78
Ivern;Support;JUNGLE;D;35.53;-2;48.37%;76.97%;0.95%;0.36%;3.28
Ivern;Support;SUPPORT;D;22.59;-1.75;42.37%;12.30%;0.15%;0.34%;2.27
Janna;Support;SUPPORT;S;56.68;8.77;51.81%;98.32%;4.47%;0.73%;3.2
Jarvan IV;Tank;JUNGLE;God;77.16;-13.2;52.11%;92.64%;7.88%;12.79%;3.27
Jax;Fighter;TOP;God;84.89;11.74;50.96%;84.09%;8.14%;15.50%;1.69
Jax;Fighter;JUNGLE;D;34.35;-3.36;49.78%;12.68%;1.25%;15.50%;2.17
Jayce;Fighter;TOP;S;67.45;6.95;49.61%;75.42%;6.46%;4.50%;1.8
Jayce;Fighter;MID;B;45.86;-0.78;51.66%;22.76%;1.92%;4.50%;2.15
Jhin;Marksman;ADC;S;59.87;-3.12;50.67%;95.61%;11.26%;2.66%;2.9
Jinx;Marksman;ADC;God;93.76;-0.57;51.91%;98.87%;25.32%;12.98%;2.37
K'Sante;Fighter;TOP;S;58.54;4.34;46.80%;87.90%;5.80%;4.58%;1.91
Kai'Sa;Marksman;ADC;S;61.89;-5.24;49.85%;93.01%;14.57%;2.48%;2.43
Kalista;Marksman;ADC;D;31.41;2.31;48.02%;87.76%;1.93%;0.49%;2.22
Karma;Mage;SUPPORT;A;53.33;1.7;48.30%;89.80%;6.34%;1.48%;2.62
Karthus;Mage;ADC;B;43.69;4.19;54.40%;31.69%;1.45%;3.96%;2.3
Karthus;Mage;JUNGLE;C;38.31;-1.04;49.50%;52.21%;2.05%;3.96%;2.46
Kassadin;Assassin;MID;B;41.91;-2.16;48.53%;96.04%;2.04%;5.75%;2.42
Katarina;Assassin;MID;God;76.73;-5.03;48.90%;95.27%;9.83%;16.61%;2.23
Kayle;Fighter;TOP;A;51.43;3.13;52.10%;80.60%;2.92%;0.74%;1.84
Kayle;Fighter;MID;C;40.07;-4.25;51.43%;15.15%;0.47%;0.74%;2.21
Kayn;Fighter;JUNGLE;God;75.86;-1.61;49.81%;91.84%;9.99%;11.77%;2.38
Kennen;Mage;TOP;A;50.31;0.92;49.82%;79.42%;3.33%;2.38%;1.97
Kennen;Mage;MID;B;42.65;-2;52.08%;16.38%;0.64%;2.38%;2.34
Kha'Zix;Assassin;JUNGLE;God;88.23;35.37;51.54%;98.99%;11.60%;10.06%;2.66
Kindred;Marksman;JUNGLE;A;49.79;-1.35;50.04%;94.99%;4.66%;5.37%;2.25
Kled;Fighter;TOP;A;52.04;-0.01;52.32%;87.95%;2.51%;1.73%;2.2
Kog'Maw;Marksman;ADC;B;43.85;8.7;52.77%;85.29%;3.28%;0.97%;2.28
Kog'Maw;Marksman;MID;C;40.26;0;51.79%;10.84%;0.35%;0.97%;2.21
LeBlanc;Assassin;MID;A;55.86;-0.05;48.79%;89.73%;4.89%;8.91%;2.74
Lee Sin;Fighter;JUNGLE;God;91.9;0.72;48.40%;92.62%;14.03%;9.92%;2.66
Leona;Tank;SUPPORT;A;55.11;5.45;50.86%;98.65%;5.45%;4.06%;2.38
Lillia;Fighter;JUNGLE;S;58.82;10.23;52.57%;90.13%;4.77%;2.52%;2.87
Lissandra;Mage;MID;A;52.87;-0.42;50.89%;94.33%;3.88%;1.61%;2.43
Lucian;Marksman;ADC;B;45.95;0.76;50.06%;92.06%;7.00%;1.62%;2.27
Lulu;Support;SUPPORT;S;67.19;1.15;48.91%;97.73%;9.47%;8.61%;2.92
Lux;Mage;SUPPORT;God;78.66;1.36;50.38%;68.75%;11.85%;12.23%;2.41
Lux;Mage;MID;S;60.74;-0.34;51.21%;28.16%;4.49%;12.23%;2.92
Malphite;Tank;TOP;God;94.82;-2.17;51.19%;74.90%;8.07%;22.95%;2.44
Malphite;Tank;MID;B;46.07;-1.17;51.48%;11.47%;1.25%;22.95%;2.55
Malzahar;Mage;MID;A;53.69;3.02;51.62%;90.08%;3.82%;4.97%;2.26
Maokai;Tank;JUNGLE;B;46.19;-0.42;51.95%;40.84%;1.88%;1.15%;3.05
Maokai;Tank;SUPPORT;B;43.95;-0.45;51.43%;34.40%;1.55%;1.15%;2.28
Maokai;Tank;TOP;B;43.3;-4.26;51.26%;23.89%;1.12%;1.15%;2.39
Master Yi;Assassin;JUNGLE;God;72.29;3.39;50.19%;92.52%;8.20%;19.60%;2.11
Milio;Support;SUPPORT;God;82.13;-6.21;52.22%;98.95%;10.80%;13.68%;3.45
Miss Fortune;Marksman;ADC;A;49.62;-2.94;49.95%;87.64%;8.99%;2.24%;2.2
Mordekaiser;Fighter;TOP;God;81.84;10.51;51.05%;85.10%;7.53%;12.99%;1.9
Morgana;Mage;SUPPORT;S;64.53;2.26;50.00%;90.06%;6.47%;27.22%;2.43
Nami;Support;SUPPORT;A;54.69;-1.48;49.74%;99.44%;5.35%;0.79%;3.04
Nasus;Fighter;TOP;S;57.89;1.53;50.10%;81.53%;4.58%;3.85%;1.91
Nasus;Fighter;MID;C;41.15;0.92;51.98%;10.49%;0.44%;3.85%;2.23
Nautilus;Tank;SUPPORT;S;66.4;-0.57;49.76%;95.08%;9.24%;11.84%;2.28
Neeko;Mage;MID;B;44.67;3.93;51.71%;54.89%;1.56%;0.75%;2.22
Neeko;Mage;TOP;C;35.97;-3.59;51.26%;12.89%;0.24%;0.75%;1.99
Neeko;Mage;SUPPORT;D;33.71;-1.31;47.96%;24.78%;0.72%;0.80%;1.96
Nidalee;Assassin;JUNGLE;A;53.87;7.26;48.51%;91.07%;5.36%;6.05%;2.92
Nilah;Marksman;ADC;B;44.79;3.03;53.39%;96.29%;3.03%;4.77%;2.27
Nocturne;Assassin;JUNGLE;S;58.15;0.4;51.71%;91.90%;5.20%;5.08%;2.64
Nunu;Tank;JUNGLE;B;45.56;-1.94;48.96%;90.95%;3.89%;1.29%;2.67
Olaf;Fighter;TOP;A;52.57;-0.76;51.18%;87.22%;3.36%;5.41%;1.78
Olaf;Fighter;JUNGLE;D;26.36;-4.94;48.03%;10.33%;0.40%;5.41%;2.2
Orianna;Mage;MID;A;47.67;0.49;50.73%;91.78%;2.19%;0.20%;2.72
Ornn;Tank;TOP;God;69.43;17.39;53.32%;94.28%;4.95%;1.04%;2.54
Pantheon;Fighter;MID;A;55.34;2.01;52.71%;35.53%;3.63%;5.62%;2.32
Pantheon;Fighter;TOP;A;52.66;-0.93;51.08%;32.64%;3.14%;5.62%;2.03
Pantheon;Fighter;SUPPORT;C;36.25;-0.64;46.84%;22.56%;2.30%;5.62%;1.9
Poppy;Tank;TOP;A;50.51;6.86;51.35%;51.68%;2.61%;2.15%;2.17
Poppy;Tank;JUNGLE;B;46.78;10.52;52.16%;40.37%;2.11%;2.15%;2.88
Pyke;Support;SUPPORT;S;63.63;2.8;49.92%;95.97%;8.16%;14.26%;2.19
Qiyana;Assassin;MID;B;43.04;-0.55;48.63%;79.01%;2.94%;1.13%;2.03
Qiyana;Assassin;JUNGLE;D;20.22;-1.33;45.08%;15.27%;0.48%;1.13%;2.25
