Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;S;62.23;11.4;48.79%;92.41%;5.48%;4.94%;1.87
Ahri;Mage;MID;God;83.44;-1.2;51.26%;95.98%;12.28%;6.24%;2.65
Akali;Assassin;MID;A;50.82;-2.46;47.15%;73.91%;5.00%;8.34%;2.27
Akali;Assassin;TOP;D;33.13;-4.46;47.08%;25.00%;1.69%;8.34%;1.96
Akshan;Marksman;MID;A;51.8;-0.16;51.91%;66.79%;2.95%;6.58%;2.25
Akshan;Marksman;TOP;C;38.62;-4.25;51.50%;25.16%;1.08%;6.58%;1.98
Alistar;Tank;SUPPORT;A;48.56;0.96;50.67%;92.00%;3.16%;0.91%;2.46
Amumu;Tank;JUNGLE;A;54.14;13;52.35%;62.75%;4.05%;3.33%;2.81
Amumu;Tank;SUPPORT;B;44.6;4.18;51.23%;35.62%;1.94%;3.33%;2.08
Anivia;Mage;MID;A;51.19;-1.98;51.79%;79.46%;2.03%;3.18%;2.83
Anivia;Mage;SUPPORT;D;31.11;3.66;46.54%;12.70%;0.31%;3.09%;2.18
Annie;Mage;MID;S;55.97;2.11;53.17%;70.55%;3.37%;3.32%;2.45
Annie;Mage;SUPPORT;B;43.93;2.17;51.36%;24.63%;1.22%;3.32%;2.42
Aphelios;Marksman;ADC;A;53.26;8.62;48.10%;98.26%;12.65%;2.83%;2.03
Ashe;Marksman;ADC;B;44.35;-1.69;50.45%;71.03%;6.03%;1.69%;2.34
Ashe;Marksman;SUPPORT;C;39.97;2.41;48.53%;25.99%;2.08%;1.69%;2.11
Aurelion Sol;Mage;MID;S;67.74;1.99;51.85%;88.56%;6.52%;15.45%;2.63
Azir;Mage;MID;C;38.1;3.33;47.77%;89.07%;1.46%;0.34%;1.99
Bard;Support;SUPPORT;B;44.33;1.09;49.29%;96.59%;2.07%;0.34%;2.91
Bel'Veth;Fighter;JUNGLE;S;55.8;4.71;51.81%;90.93%;5.09%;8.60%;2.42
Blitzcrank;Tank;SUPPORT;God;72.58;0.13;50.95%;97.14%;8.35%;25.04%;2.39
Brand;Mage;SUPPORT;B;42.9;-2.93;49.06%;75.20%;3.03%;3.59%;1.78
Brand;Mage;MID;C;38.88;4.25;49.50%;17.07%;0.72%;3.94%;1.99
Braum;Support;SUPPORT;B;45.9;-0.22;49.98%;98.40%;2.37%;0.36%;2.75
Caitlyn;Marksman;ADC;A;53.24;-0.34;49.16%;95.28%;10.60%;9.04%;2.14
Camille;Fighter;TOP;A;51.3;-0.78;49.94%;93.63%;3.60%;1.98%;1.92
Cassiopeia;Mage;MID;A;50.15;-1.62;51.88%;77.74%;2.65%;3.37%;2.18
Cassiopeia;Mage;TOP;C;37.09;-2.61;52.71%;14.89%;0.51%;3.37%;1.97
Cho'Gath;Tank;TOP;S;55.59;-3.77;51.88%;64.39%;3.40%;1.76%;2.12
Cho'Gath;Tank;MID;B;45.48;2.42;51.97%;19.86%;0.85%;1.76%;2.39
Corki;Marksman;MID;C;36.47;-4.78;47.52%;89.39%;0.76%;0.16%;2.19
Darius;Fighter;TOP;God;87.48;5.71;48.82%;93.10%;7.71%;19.69%;1.82
Diana;Fighter;JUNGLE;B;46.13;-2.04;49.73%;66.09%;3.95%;2.45%;2.39
Diana;Fighter;MID;B;44;1.02;50.08%;31.35%;1.93%;2.45%;2.06
Dr. Mundo;Marksman;TOP;S;56.12;0.87;53.24%;85.25%;3.13%;3.21%;1.95
Draven;Fighter;ADC;B;46.21;0.69;50.51%;95.39%;5.83%;20.78%;2.12
Ekko;Assassin;JUNGLE;A;53.76;-4.19;50.59%;67.74%;5.06%;4.28%;2.71
Ekko;Assassin;MID;B;45.75;0.63;49.97%;29.51%;2.21%;4.28%;2.24
Elise;Mage;JUNGLE;B;43.58;-1.51;49.88%;94.88%;2.56%;4.10%;2.74
Evelynn;Assassin;JUNGLE;A;54.64;2.34;51.42%;97.87%;4.15%;10.35%;2.99
Ezreal;Marksman;ADC;God;76.88;2.4;49.30%;94.72%;19.96%;6.78%;2.43
Fiddlesticks;Mage;JUNGLE;A;51.49;0.58;52.34%;81.25%;3.31%;4.06%;2.8
Fiddlesticks;Mage;SUPPORT;C;39.73;0.49;51.11%;14.73%;0.51%;3.95%;2.02
Fiora;Fighter;TOP;S;67.96;-0.69;50.48%;97.56%;5.35%;13.66%;1.7
Fizz;Assassin;MID;S;59.76;-0.28;51.24%;95.59%;5.44%;7.15%;2.4
Galio;Tank;MID;A;50.35;1.96;51.71%;79.65%;2.12%;0.44%;2.67
Galio;Tank;SUPPORT;C;37.32;1.84;49.60%;16.16%;0.39%;0.42%;2.24
Gangplank;Fighter;TOP;A;52.18;-1.11;48.83%;78.03%;3.94%;5.00%;1.94
Gangplank;Fighter;MID;C;39.02;5.41;48.49%;20.49%;1.05%;5.00%;2.15
Garen;Fighter;TOP;S;67.83;0.97;50.71%;85.43%;5.67%;1.75%;2.05
Gnar;Fighter;TOP;C;39.73;-2.46;48.02%;96.11%;2.66%;0.46%;1.82
Gragas;Fighter;JUNGLE;S;55.45;-4.62;50.02%;53.33%;5.23%;7.54%;2.95
Gragas;Fighter;TOP;A;49.55;-1.38;49.15%;30.49%;3.10%;7.54%;2.15
Gragas;Fighter;MID;B;42.32;-1.29;49.24%;12.17%;1.15%;7.54%;2.45
Graves;Marksman;JUNGLE;A;49.92;-3.99;49.62%;86.39%;4.76%;1.92%;2.63
Gwen;Fighter;TOP;A;50;-1.99;49.76%;90.07%;3.69%;1.83%;1.71
Hecarim;Fighter;JUNGLE;S;63.56;-4.49;50.35%;98.83%;6.93%;15.71%;2.69
Heimerdinger;Mage;MID;B;44.81;3.44;53.07%;22.44%;0.68%;1.93%;1.97
Heimerdinger;Mage;SUPPORT;B;41.96;-0.7;50.90%;51.33%;1.44%;1.93%;1.97
Heimerdinger;Mage;TOP;D;27.77;-10.7;49.76%;17.08%;0.50%;1.93%;1.6
Illaoi;Fighter;TOP;S;63;1.02;51.50%;93.94%;4.69%;11.50%;1.45
Irelia;Fighter;TOP;A;52.35;-1.89;49.27%;47.61%;3.83%;12.95%;1.59
Irelia;Fighter;MID;A;50.03;-2.19;49.68%;50.68%;3.99%;12.95%;1.78
Ivern;Support;JUNGLE;D;33.88;-1.64;46.86%;77.00%;0.81%;0.35%;3.31
Ivern;Support;SUPPORT;D;26.12;3.52;43.80%;13.15%;0.14%;0.33%;2.37
Janna;Support;SUPPORT;S;56.71;0.03;52.38%;97.99%;3.84%;0.70%;3.22
