Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Jarvan IV;Tank;JUNGLE;S;66.88;-10.28;52.43%;92.33%;6.52%;8.20%;3.32
Jax;Fighter;TOP;God;87.88;3;51.39%;84.32%;7.52%;15.78%;1.7
Jax;Fighter;JUNGLE;C;38.29;3.94;50.70%;13.30%;1.25%;15.04%;2.21
Jayce;Fighter;TOP;S;66.05;-1.4;49.66%;76.12%;5.81%;4.33%;1.79
Jayce;Fighter;MID;B;44.95;-0.91;50.97%;21.84%;1.60%;4.33%;2.12
Jhin;Marksman;ADC;S;60.87;1;50.98%;95.76%;11.17%;2.62%;2.89
Jinx;Marksman;ADC;God;91.93;-1.83;51.44%;98.98%;23.13%;12.38%;2.35
K'Sante;Fighter;TOP;S;64.53;5.99;46.30%;84.34%;6.49%;5.27%;1.91
K'Sante;Fighter;MID;D;31.93;0;44.76%;13.60%;1.13%;5.27%;1.97
Kai'Sa;Marksman;ADC;S;64.71;2.81;50.14%;92.58%;14.88%;2.26%;2.44
Kalista;Marksman;ADC;D;29.03;-2.38;48.10%;86.39%;1.82%;0.47%;2.18
Karma;Mage;SUPPORT;A;52.82;-0.51;47.97%;88.51%;6.00%;1.64%;2.63
Karthus;Mage;MID;B;43.3;0;51.80%;10.02%;0.37%;4.79%;2.3
Karthus;Mage;ADC;C;40.69;-3;53.92%;32.28%;1.39%;4.79%;2.31
Karthus;Mage;JUNGLE;C;39.51;1.2;49.55%;50.54%;1.98%;4.79%;2.47
Kassadin;Assassin;MID;C;41.59;-0.32;47.92%;96.47%;1.74%;4.71%;2.42
Katarina;Assassin;MID;God;68.97;-7.76;49.63%;95.57%;8.40%;15.58%;2.28
Kayle;Fighter;TOP;God;72.3;20.87;52.01%;85.69%;6.06%;3.07%;1.83
Kayle;Fighter;MID;B;46.05;5.98;52.95%;11.94%;0.81%;3.07%;2.18
Kayn;Fighter;JUNGLE;God;68.4;-7.46;50.38%;90.41%;9.05%;10.95%;2.41
Kennen;Mage;TOP;A;48.18;-2.13;50.02%;79.56%;3.01%;2.34%;1.99
Kennen;Mage;MID;B;43.59;0.94;51.37%;16.79%;0.61%;2.34%;2.37
Kha'Zix;Assassin;JUNGLE;God;95.96;7.74;52.13%;99.11%;13.03%;19.93%;2.7
Kindred;Marksman;JUNGLE;A;48.17;-1.62;50.19%;95.18%;4.30%;5.15%;2.25
Kled;Fighter;TOP;A;50.57;-1.47;52.88%;88.21%;2.20%;1.62%;2.24
Kog'Maw;Marksman;ADC;B;42.64;-1.21;52.58%;90.06%;3.61%;1.35%;2.28
LeBlanc;Assassin;MID;A;53.27;-2.6;47.97%;90.49%;4.58%;8.38%;2.75
Lee Sin;Fighter;JUNGLE;God;76.26;-15.65;47.93%;92.10%;12.39%;8.21%;2.66
Leona;Tank;SUPPORT;A;53.23;-1.88;50.38%;98.59%;4.87%;3.94%;2.35
Lillia;Fighter;JUNGLE;A;50.45;-8.37;51.70%;88.87%;3.42%;2.14%;2.82
Lissandra;Mage;MID;A;51.76;-1.11;50.35%;94.44%;3.68%;1.63%;2.43
Lucian;Marksman;ADC;B;46.65;0.7;50.33%;92.85%;7.28%;1.64%;2.29
Lulu;Support;SUPPORT;God;70.03;2.83;49.07%;97.93%;9.72%;8.99%;2.92
Lux;Mage;SUPPORT;God;78.05;-0.6;50.20%;69.35%;11.32%;11.67%;2.41
Lux;Mage;MID;S;58.93;-1.8;51.19%;27.73%;4.21%;11.67%;2.87
Malphite;Tank;TOP;God;92.66;-2.16;52.13%;72.96%;6.99%;18.63%;2.45
Malphite;Tank;MID;A;47.81;1.74;51.78%;12.57%;1.20%;18.63%;2.55
Malphite;Tank;SUPPORT;D;32.92;0;46.43%;10.98%;1.06%;18.29%;1.97
Malzahar;Mage;MID;A;55.25;1.57;52.23%;89.58%;3.81%;5.27%;2.29
Maokai;Tank;SUPPORT;B;47.06;3.11;52.70%;37.40%;1.59%;1.04%;2.31
Maokai;Tank;JUNGLE;B;46.53;0.33;51.92%;43.15%;1.83%;1.04%;3.07
Maokai;Tank;TOP;C;40.72;-2.58;52.30%;18.37%;0.81%;1.04%;2.35
Master Yi;Assassin;JUNGLE;God;78.37;6.08;51.73%;91.49%;9.59%;21.21%;2.16
Milio;Support;SUPPORT;God;79.47;-2.66;51.91%;99.25%;9.74%;12.23%;3.52
Miss Fortune;Marksman;ADC;A;49.48;-0.13;50.54%;87.41%;8.46%;2.18%;2.19
Miss Fortune;Marksman;SUPPORT;D;27.99;0;44.38%;10.07%;0.84%;2.18%;2.01
Mordekaiser;Fighter;TOP;God;83.65;1.81;50.81%;84.82%;7.10%;12.93%;1.86
Morgana;Mage;SUPPORT;S;64.38;-0.15;49.83%;89.82%;6.25%;26.83%;2.42
Nami;Support;SUPPORT;S;56.74;2.05;50.18%;99.51%;5.48%;0.73%;3.03
Nasus;Fighter;TOP;S;60.56;2.67;51.27%;81.89%;4.44%;3.92%;1.9
Nasus;Fighter;MID;C;40.26;-0.88;50.44%;10.24%;0.42%;3.92%;2.14
Nautilus;Tank;SUPPORT;God;71.4;4.99;50.61%;82.68%;9.61%;13.03%;2.29
Nautilus;Tank;MID;B;45.67;0;49.97%;13.57%;1.57%;13.03%;2.53
Neeko;Mage;MID;S;56.45;11.78;50.90%;31.92%;4.08%;18.52%;2.41
Neeko;Mage;SUPPORT;B;45.82;12.11;48.78%;25.36%;3.26%;18.52%;2.07
Neeko;Mage;JUNGLE;C;36.77;0;43.04%;34.23%;4.09%;18.52%;2.58
Nidalee;Assassin;JUNGLE;A;53.42;-0.45;48.01%;91.84%;5.88%;6.40%;2.88
Nilah;Marksman;ADC;B;44.9;0.11;54.65%;96.26%;2.72%;4.81%;2.27
Nocturne;Assassin;JUNGLE;A;54.31;-3.85;51.52%;92.97%;4.71%;5.01%;2.64
Nunu;Tank;JUNGLE;B;44.18;-1.38;48.65%;90.84%;3.70%;1.21%;2.64
Olaf;Fighter;TOP;A;51.67;-0.9;51.13%;88.19%;3.30%;5.05%;1.77
Orianna;Mage;MID;B;47.26;-0.41;50.29%;91.81%;1.91%;0.18%;2.68
Ornn;Tank;TOP;God;83.07;13.64;53.30%;94.49%;6.57%;2.27%;2.51
Pantheon;Fighter;MID;A;54.64;-0.7;51.99%;36.95%;3.71%;6.18%;2.3
Pantheon;Fighter;TOP;A;49.94;-2.72;50.43%;31.09%;2.97%;6.18%;2.04
Pantheon;Fighter;SUPPORT;C;40.28;4.03;48.55%;23.18%;2.34%;6.18%;1.89
Poppy;Tank;TOP;A;48.29;-2.22;50.86%;49.84%;2.57%;2.47%;2.17
Poppy;Tank;JUNGLE;B;45.54;-1.24;51.44%;41.39%;2.15%;2.47%;2.83
Pyke;Support;SUPPORT;S;64.33;0.7;49.24%;95.81%;8.33%;14.37%;2.17
Qiyana;Assassin;MID;B;41.81;-1.23;47.55%;81.22%;2.71%;0.99%;2.03
Qiyana;Assassin;JUNGLE;D;21.59;1.37;44.14%;12.94%;0.40%;0.99%;2.25
Quinn;Marksman;MID;B;45.18;3.8;53.63%;13.08%;0.20%;0.56%;2.17
Quinn;Marksman;TOP;C;37.89;-0.99;51.42%;76.36%;1.16%;0.54%;1.9
Rakan;Support;SUPPORT;God;69.12;-0.17;51.72%;98.89%;8.48%;3.74%;2.85
Rammus;Tank;JUNGLE;B;47.17;-2.21;50.79%;77.57%;2.45%;8.38%;3.08
Rammus;Tank;TOP;D;32.99;3.49;52.32%;18.02%;0.45%;8.38%;1.54
Rek'Sai;Fighter;JUNGLE;C;38.14;2.09;50.05%;94.84%;1.30%;0.85%;2.53
Rell;Tank;SUPPORT;B;46.35;0.35;52.31%;98.66%;1.38%;0.29%;2.49
Renata Glasc;Support;SUPPORT;B;44.15;-1.28;49.91%;98.98%;1.93%;0.70%;2.66
Renekton;Fighter;TOP;B;41.76;-5.37;47.65%;83.75%;3.11%;1.95%;1.75
Renekton;Fighter;MID;C;39.2;0.72;50.12%;14.46%;0.53%;1.95%;1.97
Rengar;Assassin;JUNGLE;B;45.27;-0.14;49.22%;76.58%;3.70%;9.10%;2.36
Rengar;Assassin;TOP;C;36.97;-0.84;51.12%;19.44%;1.00%;9.10%;1.9
Riven;Fighter;TOP;S;57.07;-0.52;49.93%;89.18%;4.58%;1.71%;1.81
Rumble;Fighter;MID;B;44.12;1.31;50.38%;41.25%;1.24%;1.18%;2.43
Rumble;Fighter;TOP;D;30.68;-5.84;47.13%;45.97%;1.40%;1.18%;1.99
Ryze;Mage;MID;C;39.71;0.19;47.67%;82.33%;1.64%;0.26%;2.25
Ryze;Mage;TOP;D;29.85;-5.91;50.23%;14.96%;0.29%;0.26%;1.95
Samira;Marksman;ADC;A;48.98;1.44;51.03%;97.81%;6.57%;15.69%;2.26
Sejuani;Tank;JUNGLE;A;48.28;1.53;50.25%;83.28%;3.00%;0.96%;3.29
Sejuani;Tank;TOP;D;33.87;-3.49;50.56%;10.37%;0.35%;1.02%;2.36
Senna;Marksman;SUPPORT;S;67.96;0.1;51.50%;93.14%;8.65%;4.22%;2.56
Seraphine;Mage;SUPPORT;A;47.4;1.98;49.22%;68.53%;3.73%;1.21%;2.41
Seraphine;Mage;ADC;C;38.62;-9.48;51.67%;21.22%;0.93%;1.21%;2.9
Sett;Fighter;TOP;S;67.04;0.7;50.29%;81.32%;5.88%;3.56%;1.72
Shaco;Assassin;JUNGLE;S;55.99;-2.41;48.43%;76.03%;5.77%;18.23%;2.66
Shaco;Assassin;SUPPORT;B;41.92;2.2;50.24%;16.45%;1.24%;18.23%;2.22
Shen;Tank;TOP;S;60.02;-4.89;50.83%;84.70%;3.57%;0.75%;2.96
Shyvana;Fighter;JUNGLE;C;38.47;0.79;50.09%;79.62%;1.41%;0.35%;2.51
Shyvana;Fighter;TOP;D;27.54;0.41;49.57%;11.91%;0.22%;0.41%;1.9
Singed;Tank;MID;A;53.14;3.3;56.14%;11.94%;0.26%;0.44%;2.85
Singed;Tank;TOP;B;47.01;0.12;53.45%;77.50%;1.65%;0.49%;2.09
Sion;Tank;TOP;S;66.87;-5.15;50.58%;81.21%;5.94%;3.54%;1.6
Sion;Tank;MID;C;37.29;2.62;50.31%;10.21%;0.69%;3.54%;1.41
Sivir;Marksman;ADC;B;43.86;2.62;50.93%;97.46%;5.11%;1.29%;2.45
Skarner;Fighter;JUNGLE;C;41.45;0.89;52.02%;78.80%;0.74%;0.16%;2.78
Skarner;Fighter;TOP;D;26.73;0.37;48.71%;16.80%;0.14%;0.16%;2.14
Sona;Support;SUPPORT;A;50.12;-1.46;51.22%;97.90%;2.82%;0.13%;2.89
Soraka;Support;SUPPORT;A;52.41;-0.78;50.47%;96.21%;4.25%;1.36%;2.7
Swain;Mage;SUPPORT;A;50.3;8.93;50.83%;54.54%;3.68%;3.07%;2.34
Swain;Mage;MID;A;48.64;5.15;51.89%;24.41%;1.41%;3.07%;2.69
Swain;Mage;ADC;A;47.53;6.55;56.01%;12.32%;0.59%;3.07%;3.07
Sylas;Mage;MID;S;60.99;-7.62;49.69%;54.32%;6.61%;12.47%;2.14
Sylas;Mage;JUNGLE;A;50.9;-1.32;50.52%;34.78%;4.17%;12.47%;2.52
Syndra;Mage;MID;A;53.92;0.03;50.26%;91.90%;4.65%;2.52%;2.25
Tahm Kench;Support;TOP;B;45.03;-3.96;50.97%;56.31%;1.88%;1.10%;2.37
Tahm Kench;Support;SUPPORT;C;36.92;0.66;48.34%;34.89%;0.86%;1.10%;2.39
Taliyah;Mage;MID;B;45.21;2.11;51.42%;65.11%;1.30%;0.38%;2.25
Taliyah;Mage;JUNGLE;C;36.85;5.46;50.54%;19.97%;0.43%;0.38%;2.67
Taliyah;Mage;SUPPORT;D;35.46;0;49.48%;10.30%;0.18%;0.38%;1.98
Talon;Assassin;MID;A;49.08;0.39;50.28%;69.90%;3.20%;1.92%;2.21
Talon;Assassin;JUNGLE;C;38.28;5.15;50.07%;26.86%;1.30%;1.92%;2.54
Taric;Support;SUPPORT;A;48.9;0.65;52.88%;90.62%;1.53%;0.34%;2.76
Teemo;Marksman;TOP;S;58.35;0.68;50.49%;72.78%;4.30%;6.95%;1.71
Thresh;Support;SUPPORT;God;91.6;-0.46;50.09%;98.15%;16.14%;8.99%;2.55
Tristana;Marksman;ADC;A;47.58;1.24;51.49%;70.52%;6.40%;3.65%;2.33
Tristana;Marksman;MID;B;45.49;1.36;51.19%;25.30%;1.83%;3.65%;2.03
Trundle;Fighter;JUNGLE;B;46.42;11.27;52.57%;64.99%;1.81%;0.85%;2.8
Trundle;Fighter;TOP;D;33.96;8.2;51.91%;30.69%;0.72%;0.85%;1.59
Tryndamere;Fighter;MID;B;45.48;6.18;53.60%;12.23%;0.32%;2.08%;2.16
Tryndamere;Fighter;TOP;C;39.58;-2.34;49.43%;78.56%;2.22%;2.08%;1.73
Twisted Fate;Mage;MID;B;44.02;0.45;48.59%;89.57%;2.49%;0.19%;2.26
Twitch;Marksman;ADC;B;44.8;-1.7;51.48%;71.52%;4.82%;6.55%;2.43
Twitch;Marksman;SUPPORT;D;32.32;-0.01;45.87%;19.91%;1.35%;6.55%;1.95
Udyr;Fighter;JUNGLE;B;44.27;-2.09;49.73%;81.34%;3.09%;4.35%;2.58
Udyr;Fighter;TOP;D;29.5;0.25;49.66%;16.52%;0.60%;4.35%;1.77
Urgot;Fighter;TOP;B;45.46;0.56;51.01%;92.11%;2.35%;1.00%;1.96
Varus;Marksman;ADC;B;44.78;-1.32;50.70%;86.60%;5.94%;1.28%;2.37
Vayne;Marksman;ADC;B;45.63;-1.75;50.54%;78.16%;6.85%;5.83%;2.1
Vayne;Marksman;TOP;C;38.69;-0.88;51.42%;18.65%;1.50%;5.83%;1.6
Veigar;Mage;MID;S;55.88;-5.86;50.17%;70.16%;5.09%;5.42%;2.28
Veigar;Mage;ADC;C;40.6;-0.43;53.49%;18.93%;1.23%;5.42%;2.51
Vel'Koz;Mage;MID;B;42.86;-1.55;50.31%;29.11%;0.69%;0.44%;2.55
Vel'Koz;Mage;SUPPORT;B;42.85;0.22;50.54%;65.64%;1.76%;0.44%;2.15
Vex;Mage;MID;A;51.1;-0.17;50.60%;93.35%;3.27%;4.43%;2.4
Vi;Fighter;JUNGLE;S;58.12;-4.78;51.34%;95.40%;6.15%;4.23%;2.51
Viego;Assassin;JUNGLE;S;58.64;-2.73;49.57%;93.50%;7.51%;2.52%;2.47
Viktor;Mage;MID;A;54.48;-2.58;51.00%;94.52%;4.38%;2.78%;2.27
Vladimir;Mage;MID;A;53.4;-3.7;50.27%;77.05%;4.15%;6.76%;2.35
Vladimir;Mage;TOP;C;37.55;-3.09;50.64%;21.16%;1.09%;6.76%;2.1
Volibear;Fighter;JUNGLE;B;46.49;4.08;51.39%;45.39%;2.60%;1.06%;2.75
Volibear;Fighter;TOP;B;43.2;7.42;49.09%;51.20%;2.87%;1.06%;1.75
Warwick;Fighter;JUNGLE;B;46.56;-1.86;49.60%;62.18%;4.17%;5.80%;2.17
Warwick;Fighter;TOP;D;34.51;-6.81;48.49%;35.17%;1.68%;5.80%;1.74
Wukong;Fighter;JUNGLE;A;49.93;-7.03;50.51%;82.38%;4.02%;3.88%;2.73
Wukong;Fighter;TOP;D;32.06;3.54;49.87%;13.61%;0.64%;3.88%;2.03
Xayah;Marksman;ADC;S;62.63;-0.83;50.85%;99.04%;11.95%;11.35%;2.4
Xerath;Mage;SUPPORT;A;52.54;2.08;51.25%;74.59%;3.96%;3.89%;2.48
Xerath;Mage;MID;B;45.37;-0.1;49.54%;21.96%;1.14%;3.89%;3.02
Xin Zhao;Fighter;JUNGLE;B;42.39;-1.33;50.69%;86.21%;2.56%;0.44%;2.26
Yasuo;Fighter;MID;God;87.19;1.15;49.45%;73.08%;13.42%;18.73%;1.73
Yasuo;Fighter;TOP;B;41.82;2.26;47.04%;15.92%;2.92%;18.73%;1.49
Yone;Assassin;MID;S;61.24;1.85;49.53%;61.03%;7.49%;7.80%;1.86
Yone;Assassin;TOP;A;51.57;4.42;48.97%;34.86%;3.99%;7.80%;1.63
Yorick;Fighter;TOP;C;41.6;-5.87;49.20%;89.95%;2.81%;3.84%;1.45
Yuumi;Support;SUPPORT;God;78.36;3;50.36%;99.08%;8.82%;17.19%;4.51
Zac;Tank;JUNGLE;A;53.7;-1.74;51.78%;73.84%;3.08%;3.84%;3.63
Zac;Tank;TOP;C;38.8;-6.78;51.05%;12.83%;0.61%;3.84%;2.65
Zed;Assassin;MID;God;82.26;-7.23;49.64%;78.43%;9.64%;31.86%;2.23
Zed;Assassin;JUNGLE;D;35.69;3.56;46.75%;15.42%;1.83%;31.86%;2.43
Zeri;Marksman;ADC;A;51.41;-1.21;50.69%;97.18%;7.83%;6.81%;2.53
Ziggs;Mage;MID;B;44.78;0.67;50.40%;55.27%;1.47%;0.30%;2.42
Ziggs;Mage;ADC;C;38.74;-0.86;53.06%;30.38%;0.73%;0.30%;2.55
Ziggs;Mage;SUPPORT;D;34.71;2.59;48.78%;13.09%;0.35%;0.32%;1.99
Zilean;Support;MID;A;50.82;1.36;53.18%;13.26%;0.32%;0.87%;3.38
Zilean;Support;SUPPORT;A;47.44;-0.21;50.85%;82.90%;2.09%;0.87%;2.93
Zoe;Mage;MID;A;49.63;0.67;50.02%;86.88%;2.92%;1.99%;2.59
Zoe;Mage;SUPPORT;D;33.17;-3.59;47.67%;11.13%;0.36%;1.97%;2.13
Zyra;Mage;SUPPORT;B;45.79;-1.82;50.15%;91.06%;3.00%;2.31%;2.08
