Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;A;49.44;-3.98;47.49%;91.83%;4.55%;4.57%;1.76
Ahri;Mage;MID;God;78.73;7.26;51.24%;95.65%;10.28%;3.64%;2.72
Akali;Assassin;MID;A;54.33;-0.47;47.81%;74.17%;5.58%;9.20%;2.29
Akali;Assassin;TOP;C;38.97;2.21;46.41%;24.78%;1.83%;9.20%;1.97
Akshan;Marksman;MID;B;46.12;-2.45;50.57%;62.98%;2.47%;3.89%;2.21
Akshan;Marksman;TOP;B;42.84;0.24;50.51%;27.53%;0.98%;3.89%;1.95
Alistar;Tank;SUPPORT;A;47.87;0.98;50.25%;89.82%;3.58%;1.00%;2.48
Amumu;Tank;JUNGLE;B;45.22;-2.76;50.77%;55.95%;2.65%;2.51%;2.7
Amumu;Tank;SUPPORT;B;42.89;-2.02;51.19%;42.49%;1.71%;2.51%;2.1
Anivia;Mage;MID;A;47.59;-5.46;50.01%;81.63%;2.29%;3.70%;2.83
Anivia;Mage;SUPPORT;D;28.52;-8.49;45.69%;12.10%;0.30%;3.65%;2.21
Annie;Mage;MID;S;55.63;-1.55;52.65%;63.38%;3.58%;6.20%;2.46
Annie;Mage;SUPPORT;B;45.3;-8.91;51.31%;32.75%;1.89%;6.20%;2.46
Aphelios;Marksman;ADC;B;43.51;6.73;48.13%;97.88%;8.88%;1.22%;2.02
Ashe;Marksman;ADC;A;49.39;-2.83;51.56%;71.12%;7.21%;2.35%;2.41
Ashe;Marksman;SUPPORT;D;37.1;-4.3;46.99%;26.15%;2.51%;2.35%;2.11
Aurelion Sol;Mage;MID;God;72.23;-9.82;51.30%;88.80%;6.63%;24.30%;2.68
Azir;Mage;MID;D;35.61;8.06;46.07%;87.98%;2.16%;0.43%;2.04
Bard;Support;SUPPORT;B;43.72;-4.1;49.45%;96.08%;2.05%;0.34%;2.94
Bel'Veth;Fighter;JUNGLE;A;49.01;0.1;51.76%;91.48%;3.43%;5.65%;2.4
Blitzcrank;Tank;SUPPORT;God;70.38;10.9;51.24%;97.19%;8.39%;23.39%;2.42
Brand;Mage;SUPPORT;B;43.98;-2.46;50.11%;74.57%;3.12%;3.86%;1.8
Brand;Mage;MID;D;36.81;-3.28;49.65%;16.36%;0.74%;4.24%;1.96
Braum;Support;SUPPORT;B;43.97;-2.66;49.68%;98.50%;2.22%;0.32%;2.77
Caitlyn;Marksman;ADC;S;57.82;-10.6;47.92%;95.53%;12.87%;11.81%;2.13
Camille;Fighter;TOP;A;52.23;-1.77;49.69%;93.99%;4.02%;2.08%;1.96
Cassiopeia;Mage;MID;A;50.29;-0.24;52.59%;78.23%;2.56%;2.80%;2.25
Cassiopeia;Mage;TOP;B;43.27;0.99;51.82%;13.84%;0.49%;2.80%;1.93
Cho'Gath;Tank;TOP;S;56.6;-2.28;51.53%;65.81%;4.12%;1.89%;2.09
Cho'Gath;Tank;MID;B;45.06;-1.45;52.53%;16.50%;0.94%;1.89%;2.43
Corki;Marksman;MID;D;31.11;-4.6;45.91%;88.43%;0.85%;0.17%;2.13
Darius;Fighter;TOP;God;69.21;-6.95;48.16%;93.00%;7.91%;20.10%;1.83
Diana;Fighter;JUNGLE;A;52.16;-0.22;50.79%;68.64%;4.85%;2.99%;2.46
Diana;Fighter;MID;B;42.82;-2.12;49.59%;29.19%;2.20%;2.99%;2.12
Dr. Mundo;Marksman;TOP;S;55.07;1.87;52.68%;84.20%;3.29%;3.17%;1.93
Dr. Mundo;Marksman;JUNGLE;B;42.73;-1.05;53.48%;10.58%;0.45%;3.45%;2.67
Draven;Fighter;ADC;B;45.92;1.7;50.56%;95.41%;5.91%;20.55%;2.13
Ekko;Assassin;JUNGLE;S;57.45;0.18;50.59%;69.09%;5.87%;5.13%;2.72
Ekko;Assassin;MID;B;44.83;-0.57;49.88%;28.30%;2.34%;5.13%;2.28
Elise;Mage;JUNGLE;B;45.06;-1.13;49.77%;95.31%;3.00%;5.13%;2.74
Evelynn;Assassin;JUNGLE;A;51.34;-0.68;49.80%;97.61%;4.24%;9.87%;2.88
Ezreal;Marksman;ADC;S;61.04;-3.1;48.19%;93.47%;14.72%;2.94%;2.38
Fiddlesticks;Mage;JUNGLE;A;48.37;-4.6;50.22%;86.15%;3.70%;4.02%;2.74
Fiora;Fighter;TOP;S;61.1;-4.34;50.00%;97.54%;5.91%;13.74%;1.69
Fizz;Assassin;MID;S;59.28;0.89;51.42%;95.35%;5.14%;6.28%;2.44
Galio;Tank;MID;A;49.01;-1.04;50.95%;80.62%;2.43%;0.52%;2.73
Galio;Tank;SUPPORT;D;35.07;-9.77;48.76%;13.80%;0.38%;0.45%;2.3
Gangplank;Fighter;TOP;A;52.79;-1.88;49.29%;79.57%;4.21%;6.63%;1.94
Gangplank;Fighter;MID;D;35.2;-0.42;47.54%;18.97%;1.07%;6.63%;2.14
Garen;Fighter;TOP;A;53.23;-1.21;49.49%;85.89%;4.40%;1.32%;1.99
Gnar;Fighter;TOP;B;46.99;0.78;48.82%;96.58%;3.18%;0.54%;1.88
Gragas;Fighter;JUNGLE;S;62.2;3.67;50.54%;55.98%;6.47%;7.85%;2.95
Gragas;Fighter;TOP;A;49.9;-0.98;48.19%;28.92%;3.53%;7.85%;2.15
Gragas;Fighter;MID;B;44.38;-0.6;50.84%;11.26%;1.29%;7.85%;2.56
Graves;Marksman;JUNGLE;S;57.27;11.54;48.32%;86.17%;7.33%;3.74%;2.6
Gwen;Fighter;TOP;A;49.57;-0.8;49.99%;88.76%;3.51%;1.51%;1.72
Hecarim;Fighter;JUNGLE;S;64.84;3.1;50.56%;99.07%;7.21%;12.36%;2.71
Heimerdinger;Mage;MID;C;41.21;-2.14;52.15%;23.36%;0.71%;2.20%;1.97
Heimerdinger;Mage;SUPPORT;C;40.74;-3.15;50.72%;52.13%;1.48%;2.20%;1.96
Heimerdinger;Mage;TOP;C;40.37;1.56;50.91%;16.99%;0.51%;2.24%;1.68
Illaoi;Fighter;TOP;S;59.12;-0.18;50.73%;94.00%;5.45%;11.81%;1.47
Irelia;Fighter;TOP;A;52.56;-0.84;49.43%;48.27%;4.25%;13.48%;1.59
Irelia;Fighter;MID;A;51.44;-0.3;49.96%;49.93%;4.31%;13.48%;1.79
Ivern;Support;JUNGLE;C;37.52;-1.99;48.44%;79.89%;1.01%;0.35%;3.31
Ivern;Support;SUPPORT;D;24.34;-6.03;43.29%;11.27%;0.13%;0.33%;2.46
Janna;Support;SUPPORT;A;47.92;-2.51;50.45%;97.97%;2.57%;0.46%;3.13
Jarvan IV;Tank;JUNGLE;God;90.36;8.82;52.89%;93.19%;10.68%;17.37%;3.34
Jax;Fighter;TOP;God;73.14;-2.4;51.14%;84.27%;8.17%;15.47%;1.71
Jax;Fighter;JUNGLE;C;37.71;0.8;50.77%;12.60%;1.18%;15.47%;2.22
Jayce;Fighter;TOP;S;60.5;-0.96;49.24%;75.86%;6.57%;4.15%;1.82
Jayce;Fighter;MID;B;46.64;2.15;52.05%;22.28%;1.86%;4.15%;2.21
Jhin;Marksman;ADC;S;62.99;-2.9;50.67%;95.88%;12.00%;2.80%;2.91
Jinx;Marksman;ADC;God;94.32;0.69;52.05%;98.84%;23.11%;8.78%;2.39
K'Sante;Fighter;TOP;A;54.19;3.67;47.36%;88.30%;5.62%;4.44%;1.95
Kai'Sa;Marksman;ADC;God;67.14;-5.36;50.07%;93.58%;15.36%;2.67%;2.48
Kalista;Marksman;ADC;D;29.1;3.68;48.41%;88.93%;2.32%;0.57%;2.22
