Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;A;51.47;-2.38;47.27%;92.53%;4.70%;5.57%;1.81
Ahri;Mage;MID;S;59.43;3.49;51.03%;94.19%;8.09%;2.76%;2.68
Akali;Assassin;MID;A;51.08;0.17;47.06%;74.23%;6.95%;10.72%;2.32
Akali;Assassin;TOP;C;37.65;-3.32;46.09%;24.77%;2.27%;10.72%;1.99
Akshan;Marksman;MID;B;46.94;-3.44;50.23%;67.02%;2.42%;3.55%;2.26
Akshan;Marksman;TOP;C;42.57;-2.13;52.50%;23.62%;0.84%;3.55%;2.06
Alistar;Tank;SUPPORT;A;48.08;0.75;49.53%;77.50%;4.08%;1.37%;2.41
Alistar;Tank;TOP;D;24.21;-1.89;44.45%;10.57%;0.52%;1.37%;2.04
Amumu;Tank;JUNGLE;A;50.65;-9.42;51.26%;56.62%;3.76%;5.81%;2.63
Amumu;Tank;SUPPORT;B;43.38;-5.36;50.88%;42.32%;2.32%;5.81%;2.07
Anivia;Mage;MID;A;53.56;-1.57;52.36%;83.80%;2.70%;4.06%;2.96
Anivia;Mage;SUPPORT;D;31.37;-2.79;47.97%;10.91%;0.30%;3.91%;2.28
Annie;Mage;SUPPORT;S;64.38;-10.96;52.73%;48.54%;5.31%;19.35%;2.59
Annie;Mage;MID;S;57.99;-2.65;52.65%;48.48%;5.08%;19.35%;2.51
Aphelios;Marksman;ADC;D;30.14;0.2;47.26%;97.57%;5.00%;0.62%;2.01
Ashe;Marksman;SUPPORT;God;74.45;-7.63;50.07%;65.16%;9.78%;14.43%;2.36
Ashe;Marksman;ADC;B;43.03;-2.2;50.61%;32.82%;5.25%;14.43%;2.39
Aurelion Sol;Mage;MID;God;94.54;1.56;53.31%;86.64%;12.51%;53.64%;2.73
Azir;Mage;MID;C;38.52;-0.55;45.27%;90.60%;2.48%;0.58%;2.06
Bard;Support;SUPPORT;B;44.71;0.78;49.65%;96.58%;2.24%;0.32%;2.96
