Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Jax;Fighter;TOP;God;93.48;0;51.62%;88.63%;11.05%;25.09%;1.73
Jayce;Fighter;TOP;S;59.82;0;49.55%;73.19%;6.24%;3.03%;1.83
Jayce;Fighter;MID;A;50.75;0;52.09%;24.80%;2.25%;3.03%;2.24
Jhin;Marksman;ADC;God;80.69;0;51.65%;93.73%;17.45%;3.76%;3.02
Jinx;Marksman;ADC;B;47.04;0;50.17%;97.11%;7.43%;0.62%;2.29
K'Sante;Fighter;TOP;B;45.23;0;45.44%;91.98%;4.32%;8.29%;1.82
Kai'Sa;Marksman;ADC;God;74.47;0;50.42%;95.61%;17.84%;3.15%;2.47
Kalista;Marksman;ADC;D;29.07;0;47.85%;84.41%;2.36%;0.60%;2.22
Karma;Mage;SUPPORT;S;62.54;0;48.44%;89.67%;8.35%;2.94%;2.73
Karthus;Mage;MID;B;45.27;0;49.71%;12.51%;0.35%;1.42%;2.34
Karthus;Mage;ADC;C;37.93;0;52.96%;24.35%;0.79%;1.42%;2.28
Karthus;Mage;JUNGLE;C;36.31;0;49.61%;54.17%;1.60%;1.42%;2.53
Kassadin;Assassin;MID;A;50.55;0;48.90%;96.68%;4.27%;22.96%;2.58
Katarina;Assassin;MID;A;52.3;0;49.66%;94.90%;6.50%;8.03%;2.38
Kayle;Fighter;TOP;A;52.22;0;51.47%;84.69%;3.23%;0.77%;1.85
Kayle;Fighter;MID;B;45.99;0;50.39%;12.12%;0.44%;0.77%;2.23
Kayn;Fighter;JUNGLE;God;70.18;0;49.90%;97.09%;8.69%;6.21%;2.4
Kennen;Mage;MID;A;50.3;0;52.86%;14.64%;0.21%;0.34%;2.35
Kennen;Mage;TOP;C;40.43;0;48.94%;79.68%;1.21%;0.38%;1.94
Kha'Zix;Assassin;JUNGLE;A;48.68;0;49.79%;96.52%;4.29%;1.65%;2.5
Kindred;Marksman;JUNGLE;B;44.26;0;48.32%;95.44%;4.29%;4.63%;2.16
Kled;Fighter;TOP;A;54.78;0;52.73%;90.09%;2.42%;1.27%;2.36
Kog'Maw;Marksman;ADC;C;35.71;0;51.39%;86.55%;1.63%;0.34%;2.22
LeBlanc;Assassin;MID;B;45.83;0;46.99%;89.80%;3.09%;3.79%;2.81
Lee Sin;Fighter;JUNGLE;God;88.46;0;49.14%;87.55%;12.66%;4.92%;2.72
Leona;Tank;SUPPORT;A;50.03;0;49.62%;98.78%;4.49%;3.72%;2.33
Lillia;Fighter;JUNGLE;B;47.89;0;51.54%;86.96%;2.80%;1.38%;2.87
Lillia;Fighter;TOP;C;41.14;0;50.62%;10.13%;0.36%;1.43%;2.02
Lissandra;Mage;MID;B;48.04;0;49.38%;91.59%;2.95%;0.87%;2.48
Lucian;Marksman;ADC;B;47.29;0;49.12%;92.21%;8.51%;2.87%;2.26
Lulu;Support;SUPPORT;God;70.18;0;49.39%;97.76%;9.10%;8.76%;3
Lux;Mage;SUPPORT;God;90.45;0;50.42%;74.70%;14.10%;11.54%;2.49
Lux;Mage;MID;S;56.84;0;51.99%;22.69%;4.42%;11.54%;3.02
Malphite;Tank;TOP;S;56.14;0;50.99%;70.73%;3.65%;2.51%;2.39
Malphite;Tank;MID;B;47.62;0;50.55%;11.88%;0.64%;2.63%;2.5
Malphite;Tank;SUPPORT;D;31.33;0;47.25%;13.83%;0.79%;2.63%;1.96
Malzahar;Mage;MID;B;48.29;0;49.89%;89.83%;3.13%;3.35%;2.28
Maokai;Tank;JUNGLE;God;96.36;0;52.96%;74.75%;8.65%;30.35%;2.92
Maokai;Tank;SUPPORT;A;50.91;0;52.46%;22.24%;2.42%;30.35%;2.2
Master Yi;Assassin;JUNGLE;S;61.6;0;49.06%;91.46%;6.64%;15.43%;2.03
Miss Fortune;Marksman;ADC;A;50.4;0;50.19%;85.08%;8.81%;2.03%;2.23
Miss Fortune;Marksman;SUPPORT;D;28.08;0;44.89%;12.91%;1.08%;2.03%;2.01
Mordekaiser;Fighter;TOP;God;68.62;0;51.79%;73.51%;6.39%;13.07%;1.92
Mordekaiser;Fighter;JUNGLE;C;39.68;0;50.45%;20.29%;1.90%;13.07%;2.31
Morgana;Mage;SUPPORT;God;70.52;0;50.58%;91.10%;7.11%;26.40%;2.48
Nami;Support;SUPPORT;God;69.9;0;50.22%;99.59%;8.99%;2.98%;3.14
Nasus;Fighter;TOP;S;57.88;0;51.08%;78.70%;4.65%;4.17%;1.95
Nasus;Fighter;MID;B;48.46;0;51.60%;13.73%;0.46%;4.17%;2.34
Nautilus;Tank;SUPPORT;God;71.31;0;50.96%;94.82%;9.52%;9.06%;2.35
Neeko;Mage;MID;A;49.71;0;51.78%;51.43%;1.19%;0.47%;2.39
Neeko;Mage;TOP;C;40.65;0;50.71%;12.00%;0.20%;0.51%;2
Neeko;Mage;SUPPORT;D;34.63;0;49.26%;29.63%;0.63%;0.51%;1.97
Nidalee;Assassin;JUNGLE;B;44.32;0;47.65%;89.05%;3.93%;1.69%;2.82
Nilah;Marksman;ADC;C;42.12;0;53.24%;95.80%;2.47%;4.04%;2.19
Nocturne;Assassin;JUNGLE;A;50;0;52.02%;91.53%;3.37%;1.99%;2.58
Nunu;Tank;JUNGLE;A;52.48;0;50.02%;91.77%;4.72%;1.70%;2.73
Olaf;Fighter;TOP;S;55.26;0;52.53%;85.86%;3.38%;3.01%;1.87
Olaf;Fighter;JUNGLE;D;27.31;0;48.65%;12.27%;0.46%;2.87%;2.23
Orianna;Mage;MID;B;48.2;0;49.30%;90.66%;2.11%;0.16%;2.75
Ornn;Tank;TOP;S;57.36;0;51.58%;93.13%;3.60%;0.52%;2.47
Pantheon;Fighter;MID;A;51.27;0;52.10%;30.43%;2.24%;1.96%;2.37
Pantheon;Fighter;TOP;A;49.21;0;50.73%;35.03%;2.41%;1.96%;2.08
Pantheon;Fighter;SUPPORT;C;41.54;0;50.71%;24.96%;1.89%;1.96%;1.98
Poppy;Tank;TOP;C;41.48;0;48.91%;46.51%;1.40%;0.63%;2.01
Poppy;Tank;JUNGLE;D;35.15;0;49.79%;40.33%;1.20%;0.63%;2.59
Pyke;Support;SUPPORT;S;63.22;0;49.52%;95.27%;7.87%;12.81%;2.19
Qiyana;Assassin;MID;B;43.98;0;48.26%;80.96%;2.43%;0.76%;2.09
Qiyana;Assassin;JUNGLE;D;10.55;0;41.71%;12.17%;0.29%;0.76%;2.1
Quinn;Marksman;MID;B;45.43;0;50.21%;10.13%;0.16%;0.60%;2.23
Quinn;Marksman;TOP;B;44.07;0;50.75%;78.79%;1.35%;0.60%;1.87
Rakan;Support;SUPPORT;S;66.82;0;53.19%;97.76%;6.77%;0.61%;2.99
Rammus;Tank;JUNGLE;A;51.61;0;52.04%;88.71%;2.81%;6.66%;3.18
Rek'Sai;Fighter;JUNGLE;D;31.75;0;48.29%;95.35%;1.46%;0.62%;2.37
Rell;Tank;SUPPORT;A;48.76;0;53.32%;98.28%;1.86%;0.41%;2.49
Renata Glasc;Support;SUPPORT;B;46.85;0;50.31%;98.81%;2.73%;1.21%;2.68
Renekton;Fighter;TOP;A;52.05;0;48.72%;86.17%;4.71%;2.51%;1.79
Renekton;Fighter;MID;B;44.25;0;49.58%;12.45%;0.70%;2.51%;2.06
Rengar;Assassin;JUNGLE;C;42.92;0;47.74%;74.58%;4.05%;7.09%;2.24
Rengar;Assassin;TOP;C;41.72;0;49.06%;22.13%;1.36%;7.09%;1.95
Riven;Fighter;TOP;A;50.31;0;49.19%;91.15%;3.92%;1.23%;1.87
Rumble;Fighter;MID;A;50.18;0;51.56%;41.90%;1.07%;0.48%;2.61
Rumble;Fighter;TOP;C;39.98;0;48.41%;45.74%;1.08%;0.48%;2.13
Ryze;Mage;MID;B;46.08;0;48.18%;84.60%;3.35%;1.11%;2.37
Ryze;Mage;TOP;C;41.75;0;50.55%;13.25%;0.51%;1.11%;2.05
Samira;Marksman;ADC;God;72.44;0;52.16%;98.08%;11.25%;30.07%;2.34
Sejuani;Tank;JUNGLE;S;58.3;0;50.87%;85.70%;4.97%;1.29%;3.23
Sejuani;Tank;TOP;B;44.36;0;50.53%;10.83%;0.65%;1.29%;2.42
Senna;Marksman;SUPPORT;A;49.24;0;48.82%;92.18%;4.59%;1.20%;2.49
Seraphine;Mage;SUPPORT;A;48.66;0;49.01%;70.56%;4.32%;1.23%;2.48
Seraphine;Mage;ADC;C;42.63;0;52.85%;20.45%;0.95%;1.23%;2.93
Sett;Fighter;TOP;S;65.79;0;50.42%;84.12%;7.42%;4.33%;1.74
Shaco;Assassin;JUNGLE;S;58.83;0;48.82%;79.14%;5.69%;14.87%;2.7
Shaco;Assassin;SUPPORT;C;38.85;0;49.60%;14.19%;1.00%;14.87%;2.34
Shen;Tank;TOP;S;64.06;0;52.14%;87.34%;4.23%;0.95%;3.02
Shyvana;Fighter;TOP;C;40.6;0;50.55%;12.83%;0.22%;0.33%;2.04
Shyvana;Fighter;JUNGLE;D;34.08;0;49.28%;80.23%;1.37%;0.28%;2.47
Singed;Tank;MID;A;54.72;0;54.08%;15.22%;0.37%;0.50%;2.88
Singed;Tank;TOP;A;49.23;0;52.01%;72.80%;1.79%;0.57%;2.04
Sion;Tank;TOP;S;59.46;0;51.64%;84.73%;5.19%;1.18%;1.82
Sivir;Marksman;ADC;B;46.19;0;50.71%;98.15%;5.95%;0.83%;2.48
Skarner;Fighter;TOP;C;37.61;0;48.64%;20.27%;0.18%;0.14%;2.2
Skarner;Fighter;JUNGLE;C;37.5;0;51.63%;75.85%;0.70%;0.14%;2.69
Sona;Support;SUPPORT;S;56.26;0;52.60%;97.50%;3.81%;0.31%;3.02
Soraka;Support;SUPPORT;S;56.08;0;50.93%;96.15%;5.05%;1.95%;2.75
Swain;Mage;MID;A;53.46;0;52.72%;31.00%;1.67%;3.50%;2.77
Swain;Mage;SUPPORT;A;50.64;0;51.31%;54.86%;3.58%;3.50%;2.42
Sylas;Mage;JUNGLE;God;73.99;0;49.44%;50.89%;8.14%;19.85%;2.47
Sylas;Mage;MID;A;53.77;0;50.04%;42.25%;6.86%;19.85%;2.2
Syndra;Mage;MID;A;49.73;0;49.32%;92.19%;5.30%;2.67%;2.29
Tahm Kench;Support;TOP;B;46.88;0;49.89%;69.30%;1.71%;0.70%;2.41
Tahm Kench;Support;SUPPORT;D;33.79;0;48.29%;22.81%;0.52%;0.76%;2.25
Taliyah;Mage;MID;B;48.45;0;51.03%;50.26%;1.24%;0.52%;2.37
Taliyah;Mage;JUNGLE;D;30.66;0;48.59%;37.06%;0.89%;0.52%;2.51
Talon;Assassin;MID;B;47.11;0;49.43%;72.29%;3.08%;1.09%;2.21
Talon;Assassin;JUNGLE;D;25.59;0;46.46%;23.74%;1.01%;1.09%;2.34
Taric;Support;SUPPORT;B;43.87;0;50.68%;87.48%;1.54%;0.32%;2.73
Teemo;Marksman;TOP;A;51.18;0;49.51%;74.41%;3.90%;6.08%;1.72
Thresh;Support;SUPPORT;S;65.46;0;49.08%;98.04%;9.25%;2.13%;2.56
Tristana;Marksman;ADC;A;51.9;0;51.22%;71.96%;7.93%;4.24%;2.35
Tristana;Marksman;MID;A;50.7;0;52.18%;23.42%;2.36%;4.24%;2.17
Trundle;Fighter;JUNGLE;C;35.64;0;49.31%;72.70%;1.51%;0.82%;2.61
Trundle;Fighter;TOP;D;33.09;0;47.65%;21.22%;0.44%;0.84%;1.6
Tryndamere;Fighter;MID;A;48.59;0;52.12%;14.70%;0.43%;2.39%;2.18
Tryndamere;Fighter;TOP;B;46.61;0;50.16%;77.49%;2.43%;2.39%;1.8
Twisted Fate;Mage;MID;B;45.39;0;48.51%;89.88%;2.10%;0.16%;2.4
Twitch;Marksman;ADC;B;48.55;0;51.71%;51.65%;5.32%;13.61%;2.43
