Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;God;71.25;-3.39;48.84%;92.28%;7.01%;5.81%;1.85
Ahri;Mage;MID;God;77.12;-5.03;50.90%;95.23%;10.63%;6.47%;2.63
Akali;Assassin;MID;A;55.37;-5.08;48.18%;78.45%;5.99%;8.10%;2.3
Akali;Assassin;TOP;C;36.35;-0.6;48.50%;20.39%;1.45%;8.10%;2.06
Akshan;Marksman;MID;B;47.25;-1.5;50.15%;69.32%;2.88%;5.94%;2.16
Akshan;Marksman;TOP;C;37.24;0.83;50.87%;22.48%;0.96%;5.94%;1.89
Alistar;Tank;SUPPORT;A;54.33;4.6;51.13%;95.57%;4.58%;1.43%;2.51
Amumu;Tank;JUNGLE;B;44.96;-0.85;51.16%;66.72%;2.86%;2.10%;2.64
Amumu;Tank;SUPPORT;B;40.1;-1.92;51.50%;31.76%;1.10%;2.10%;2.08
Anivia;Mage;MID;A;50.85;-1.84;51.67%;79.48%;2.22%;2.59%;2.84
Anivia;Mage;SUPPORT;D;24.49;-5.76;44.86%;12.07%;0.29%;2.59%;2.07
Annie;Mage;MID;A;48.73;-8.33;50.61%;79.68%;2.93%;2.28%;2.34
Annie;Mage;SUPPORT;C;36.74;-3.16;50.33%;15.84%;0.60%;2.28%;2.27
Aphelios;Marksman;ADC;B;44.69;-23.49;47.44%;97.70%;9.01%;3.11%;1.95
Ashe;Marksman;ADC;S;67.31;4.14;52.39%;85.21%;15.12%;5.70%;2.45
Ashe;Marksman;SUPPORT;C;37.02;1.58;47.67%;12.55%;2.14%;5.70%;2.06
Aurelion Sol;Mage;MID;A;54;0.48;51.48%;87.38%;3.50%;5.20%;2.64
Azir;Mage;MID;A;47.51;0.27;48.12%;92.08%;4.37%;1.15%;2.09
Bard;Support;SUPPORT;B;43.6;-2.68;49.55%;95.39%;2.14%;0.31%;2.88
Bel'Veth;Fighter;JUNGLE;A;49.69;1.57;50.60%;89.84%;4.26%;6.09%;2.41
Blitzcrank;Tank;SUPPORT;God;79.03;4.56;50.96%;97.14%;8.78%;23.80%;2.37
Brand;Mage;SUPPORT;B;41.62;-3.46;49.16%;72.74%;2.96%;3.38%;1.75
Brand;Mage;MID;B;40.08;5.34;50.52%;19.47%;0.72%;3.38%;2.06
Braum;Support;SUPPORT;B;47.38;0.89;49.83%;98.48%;3.10%;0.53%;2.79
Caitlyn;Marksman;ADC;B;46.61;-2.93;47.84%;94.39%;8.77%;6.08%;2.12
Camille;Fighter;TOP;A;50.66;-0.83;50.52%;92.99%;3.26%;1.75%;1.94
Cassiopeia;Mage;MID;B;47.36;-1.15;51.45%;73.55%;2.30%;2.34%;2.16
Cassiopeia;Mage;TOP;C;37.99;-1.37;52.33%;16.69%;0.53%;2.34%;1.95
Cho'Gath;Tank;TOP;A;51.89;-1.43;51.25%;65.85%;3.06%;1.32%;2.07
Cho'Gath;Tank;MID;B;43.75;0.1;51.56%;18.54%;0.76%;1.32%;2.41
Corki;Marksman;MID;C;37.15;-0.31;48.34%;86.30%;0.88%;0.18%;2.19
Darius;Fighter;TOP;God;89.77;2.57;49.01%;92.99%;8.46%;19.04%;1.8
Diana;Fighter;MID;B;40.75;-2.3;49.94%;24.93%;1.18%;1.35%;2.13
Diana;Fighter;JUNGLE;C;39.37;-2.64;48.59%;72.61%;3.35%;1.35%;2.38
Dr. Mundo;Marksman;TOP;A;50.46;-2.71;51.84%;85.89%;2.78%;2.61%;1.87
Draven;Fighter;ADC;A;48.93;-0.17;50.13%;95.95%;6.31%;21.39%;2.14
Ekko;Assassin;JUNGLE;A;53.28;2.72;50.55%;63.13%;4.83%;3.14%;2.68
